道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
54,2022,4,14.4883163,0.953,0,0,94.15,68054,1,0,0,0,89.10908774,86.35,-2.759087739
55,2022,4,0,0.2586,0,0,88.91,36398,1,0,0,0,87.75956734,92.09,4.330432656
56,2022,4,0.2754,0.13926,0,0,88.61,12025.12679,1,0,0,0,87.49822114,88.76,1.261778864
57,2022,4,4.6662,0.17302,0,0,90.11,12391.1982,1,0,0,0,87.84279748,87.11,-0.73279748
58,2022,4,0,1.066932,0,0,82.22,33941,1,0,0,0,85.78882134,94.7,8.911178662
59,2022,4,0.15,1.86036,0,0,90.03,25444,1,0,0,0,87.81254962,90.81,2.997450383
60,2022,4,1.56,2.394048,0,19.77,90.8,90833.5,1,0,0,0,88.37642669,92.3,3.923573306
61,2022,4,0.13,0.373071,0,0,75.5,14172,0,1,0,0,83.09167881,85.1,2.008321185
62,2022,5,0.6434,6.895902,0,0,92.25,384394,1,0,0,0,90.13025288,91.16,1.029747115
63,2022,5,0.969,1.161133,0,0.11394,73.27,34747.5,1,0,0,0,83.10749189,85.14,2.032508106
64,2022,5,0,3.24,0,0,81.44,62000,1,0,0,0,85.38523206,70.71,-14.67523206
65,2022,5,0,0.180264,0,23.68,86.95,30635.4,1,0,0,0,86.92842037,86.13,-0.798420374
66,2022,5,0.46,0.8368512,0,0,90.74,51657.9,1,0,0,0,88.12811458,85.05,-3.078114583
67,2022,5,0,0.3958,0,0,87.04,34658.8,1,0,0,0,87.02284356,91.68,4.657156438
68,2022,5,0,6.393489,0,0,88.52,15826,1,0,0,0,86.65294042,81.87,-4.782940419
69,2022,5,16.97779124,15.09933,0,0,90.09,15825,1,0,0,0,85.97476683,83.87,-2.104766825
70,2022,5,0,0.55,0,0,91.73,90329.03138,1,0,0,0,88.72491899,93.08,4.355081011
71,2022,5,0,0.66,0,0,85.49,90010.12334,1,0,0,0,86.98887878,94.15,7.161121219
72,2022,5,10.6413,5.231112,0,2.415024,85.74,275236.4677,1,0,0,0,87.75169564,88.91,1.158304365
73,2022,5,31.0515,2.637289,0,1.959304,86.1,283615.2736,1,0,0,0,87.83160194,88.61,0.778398061
74,2022,5,0,0.146856,0,0,85.31,20770,1,0,0,0,86.4570931,90.11,3.652906902
75,2022,5,43.02,1.429458,0,0,88.69,9399.2,1,0,0,0,86.49944707,82.22,-4.279447072
76,2022,5,0,0.305317,0,0,87.46,22678.5,1,0,0,0,87.05728353,90.03,2.972716467
77,2022,5,0,0.150232,0,0,86.96,24552,1,0,0,0,86.94861215,90.8,3.851387846
78,2022,5,0.19,2.4699498,0,0,89.02,11378.6,1,0,0,0,87.16928372,75.5,-11.66928372
79,2022,5,0,0.0484,0,0,80.76,48624,0,1,0,0,84.88965524,92.25,7.360344759
80,2022,5,1.09,1.2790974,0,34.6,80.76,27723.5,0,1,0,0,84.43197906,73.27,-11.16197906
81,2022,5,0.12302,0.5486,0,0,81.09,95399,1,0,0,0,85.82942134,81.44,-4.389421344
82,2022,5,17.4,2.1699612,0,0,98.45,32544,0,1,0,0,89.61883811,86.95,-2.66883811
83,2022,5,0,0.2628,0,0,83.54,44698.8,0,1,0,0,85.69012145,90.74,5.049878546
84,2022,5,75.4214465,5.85525,0,0,78.57,43811.1,0,1,0,0,82.45251795,87.04,4.587482052
85,2022,5,27.7353099,0.792305,0,0,95.39,87108,1,0,0,0,89.18207271,88.52,-0.662072711
86,2022,6,0,1.806582,0,0,75.83,46097,0,0,1,0,85.71626677,90.09,4.373733227
87,2022,6,29.5008,5.309815,58.18,0,86,723374,1,0,0,0,89.95456749,91.73,1.775432512
88,2022,6,18.76489536,4.34887,0,0,80.16,122512,1,0,0,0,84.97023079,85.49,0.519769211
89,2022,6,0,0,0,0,88.04,26564.5,1,0,0,0,87.10010026,85.74,-1.360100255
