道路名称,路龄,车道面积,前一年pci,当年pci,总钱数,道路属性,年份
天桥南大街,11,73814.5,94.8,91.06,24.313774,主干路,2018
文津街,11,168837.4,94.24,90.94,29.829061,主干路,2018
学院南路,11,31549,83.85,80.3,10.1824,主干路,2018
樱花园西街,11,57396.5,82.77,88.21,25.4503,主干路,2018
展览馆路,11,60807.5,92.76,82.52,2.4925,主干路,2018
中关村北大街,11,34094.63,89.89,83.98,1.391123,主干路,2018
中关村大街,12,17344.1,88.8,76.19,0.5463,主干路,2018
中关村南大街,12,12530,83.14,84.39,0.3819,主干路,2018
羊坊店路,12,37538.5,86.66,89.36,3.1448,次干路,2018
周口店路,12,43232,76.44,85.34,101.7059,次干路,2018
安翔北路,12,4060,83.46,93.18,13.7574,主干路,2018
动物园路,12,147671.2,78.68,78.38,6.5501,主干路,2018
黑泉路（林萃路）,12,31856.2,82.87,86.2,1.0582,主干路,2018
红坊路,12,123742.9,82.49,85.52,3.7917,主干路,2018
蓝靛厂北路,12,52439,87.57,80.9,70.2468,主干路,2018
蓝靛厂南路,12,27074.2,86.6,84.37,126.3994,主干路,2018
南新华街,12,8136,90.45,88.36,1.0318,主干路,2018
清华东路,12,21165,95.6,100,0.6246,主干路,2018
上庄大街,12,41661.1,89.5,85.26,43.9429,主干路,2018
辛店路（辛店村路东延）,12,64748,79.57,86.78,185.6876,主干路,2018
北辰路,12,83293,82.72,83.4,2.245,主干路,2018
北京站前街,12,59296,86.15,82.63,23.3,主干路,2018
崇文门东大街,12,30857,82.26,80.11,78.7357,主干路,2018
崇文门外大街,12,16577,82.54,78.45,1.7692,主干路,2018
东蒲立交道路,12,30698,82.68,89.54,16.4969,主干路,2018
东苇路,12,19717.8,84.97,83.17,53.31439,主干路,2018
东苇路（温榆河大道）,12,49568,85.18,85.58,23.2649,主干路,2018
机场辅路,12,39434.5,88.62,91.99,2.39571,主干路,2018
亮马桥路,12,41524.1,95.29,86.86,162.8409,主干路,2018
农展馆南路,12,23384,88.1,87.36,17.0248,主干路,2018
前门箭环路,12,9813,82.97,85.41,0.1055,主干路,2018
人民大会堂西侧路,12,10898.6,81.96,73.82,0.3798,次干路,2018
太阳宫南街（北土城东路东延）,12,259200,84.63,92.17,96.198508,主干路,2018
天坛东路,12,105847,84.4,82.59,23.00366,主干路,2018
杏石口路,12,63478,83.17,95.57,1.9043,主干路,2018
永定门外大街,12,43960.1,82.45,85.19,0.1707,主干路,2018
右安门内大街,12,92646.2,86.22,91.77,11.6137554,主干路,2018
北纬路,12,44090,85.21,88.31,35.0466,次干路,2018
方庄路,12,50940,85.61,82.38,8.6816,次干路,2018
芳古路,12,33134.2,80.85,84.25,51.7248,次干路,2018
京原路,12,19596,79.11,84.59,42.2627,次干路,2018
卢沟桥路,12,33910,90.46,86.44,0.9532,次干路,2018
苏州街路,12,116272,89.32,82.19,6.04653,次干路,2018
新源南路,12,36132,78.47,84.51,5.85088,次干路,2018
中阿公社路1,13,27311,88.36,92.56,0.292785,次干路,2018
中阿公社路2,13,65843,82.7,82.35,690.78892,次干路,2018
朝阳路,13,85221,78.88,85.75,18.22748,主干路,2018
广渠路,13,112338,73.05,81.34,12.27417,主干路,2018
广渠门外大街,13,50385,78.29,86.1,55.0252,主干路,2018
惠新西街,13,70855,83.93,90.71,30.81323,主干路,2018
科荟路,13,334809,81.16,86.57,464.508632,主干路,2018
松榆南路,13,25356,82.35,81.98,0,主干路,2018
太平桥大街,13,131270,91.29,87.34,97.72007,主干路,2018
西大望路,13,34475,91.57,91.77,0.9974,主干路,2018
石板房南路（辛店村路西延）,14,21450,88.3,79.98,335.833216,主干路,2018
赵登禹路,14,23597,84.85,85.8,10.237461,主干路,2018
南大红门路,14,23521,89.37,80.6,11.527492,次干路,2018
南苑东路,14,55594,77.5,90.23,85.81629,次干路,2018
奥林东路,14,83490,80.98,70.74,432.38003,主干路,2018
朝阳路,14,142458,75.13,81.06,62.042142,主干路,2018
旱河路,15,27851,72.31,73.81,48.28689,主干路,2018
玲珑路,15,402177,86.33,86.16,614.4248,主干路,2018
鲁谷东路,15,57311,82.31,84.93,76.786,主干路,2018
马家堡西路,15,67535,76.51,88.92,50.683398,主干路,2018
南苑路,15,52994,92.29,85.69,13.227283,主干路,2018
宣武门内大街,15,49510,81.84,84.4,4.984084,主干路,2018
玉泉路,15,70669,71.99,86.59,82.669646,主干路,2018
皂君庙路,15,69303.3,92.95,82.6,41.937718,主干路,2018
京承联络线主路,15,18273.5,87.98,85.08,68.0727,快速路,2018
京承路右侧辅路,15,28968,84.59,83.88,0.12871,主干路,2018
京承路左侧辅路,15,21578,92.45,89.11,0.0795,主干路,2018
开阳路,15,37084,75.86,79.29,184.382,主干路,2018
小屯路,16,143561,91.84,88.41,60.65215,主干路,2018
永丰路,16,65744.4,82.45,91.38,74.3813,主干路,2018
白纸坊西街,16,56983.2,79.97,91.17,164.0215,主干路,2018
朝阳北路,16,28272.3,81.8,86.33,4.4376,主干路,2018
首体南路,16,40187.7,89.69,83.05,15.3563,主干路,2018
万丰路,16,22820.6,86.97,95.13,4.390124,主干路,2018
万泉河路右侧辅路,16,23245,68.85,70.59,26.4372,主干路,2018
万泉河路右侧辅路,16,12969,68.07,69.38,34.4235,主干路,2018
万泉河路左侧辅路,16,9037,91.1,88.17,1.184976,主干路,2018
万泉河路左侧辅路,16,37593.4,88.92,76.19,1.1476,主干路,2018
圆明园西路,16,42478.2,91.8,83.21,108.6331,主干路,2018
紫竹院路（紫竹桥东-车道沟桥）,16,440226.3,81.43,82.38,27.3459,主干路,2018
紫竹院路左侧辅路,16,32967.2,87.57,89.98,11.9057,主干路,2018
东南五环南侧路,16,112400,96.48,95.08,0.4221,次干路,2018
荷清路（大石桥道路）,16,34028,70.59,95.19,0,次干路,2018
西二旗北路（东北旺北路东段）,16,57420.3,84.52,82.54,1.4361,次干路,2018
莲花池东路,16,9920.2,83.93,84.34,12.1914,快速路,2018
安定路,16,15289.5,67.05,68.86,12.87688,主干路,2018
安定门外大街,16,14239.5,66.96,71.01,3.37259,主干路,2018
安宁庄东路1,16,41702,81.11,85.46,89.7485,主干路,2018
安宁庄东路2,16,20532,79.85,85.46,52.9951,主干路,2018
安翔北路,16,25839.7,86.18,86.86,1.5234,主干路,2018
白云路,16,45576,73.33,72.23,131.5727,主干路,2018
白纸坊东街,16,61099,74.56,66.54,60.732659,主干路,2018
北辰东路,16,16935,84.75,88.33,16.8844,主干路,2018
北辰路,16,36480,74.94,85.03,91.33624,主干路,2018
北辰西路,16,94500,80.8,84.62,0.98959,主干路,2018
北辰西路,16,3660,93.38,100,0,主干路,2018
北清路,16,12328.5,89.32,96.74,0.07174,主干路,2018
北太平庄路,16,12657.4,84.11,85.97,69.5192,主干路,2018
北土城西路,16,202331.3,82.2,88.28,236.5964,主干路,2018
北辛安路,16,52804.29,93.19,89.87,51.99995,主干路,2018
北苑东路,16,48751.22,86.18,85.56,2.309184,主干路,2018
北苑路北段,16,16775,69.34,85.67,157.28624,主干路,2018
菜户营南路右辅路,16,29327,77.69,89.6,93.1412,主干路,2018
菜户营南路左辅路,16,56649.8,81.37,80.89,78.8135,主干路,2018
朝阳公园南路,16,159394.5,97.91,96.85,26.9,主干路,2018
朝阳门内大街,16,75870,95.97,88.82,18.7034,主干路,2018
朝阳门外大街,16,58921,93.02,92.04,35.6461,主干路,2018
车公庄大街,16,58399.2,87.74,81.19,223.063,主干路,2018
车公庄西路,16,17850.1,82.74,85.76,1.28921,主干路,2018
崇文门西大街,16,22890,96.74,100,251.859,主干路,2018
长春桥路,16,60398,81.02,72.08,15.7909,主干路,2018
大灰厂路,16,68054,79.43,92.26,148.3824,主干路,2018
东北城角联络线右侧辅路,16,36398,82.28,90.22,0,主干路,2018
东北城角联络线左侧辅路,16,42411.4,80.26,85.1,3.1633,主干路,2018
东直门外斜街,16,20376,79.44,80.13,0.8851,主干路,2018
二环路内环辅路,16,20742.8,84.06,84.87,1.7901,主干路,2018
丰北路右侧辅路,16,36070,80.78,70.63,6.9103,主干路,2018
丰北路左侧辅路,16,53021.2,73.52,68.6,21.6655,主干路,2018
东大街（丰台东大街）,16,100362.8,86.12,89.15,1.4852,主干路,2018
阜通东大街,16,15732.2,87.37,92.09,0.2785,主干路,2018
阜通西大街,16,43547,91.53,87.3,19.3083,主干路,2018
复兴路,16,74403,91.99,91.26,0.2469,主干路,2018
复兴门内大街,16,73991.5,91.72,90.7,0.9031,主干路,2018
复兴门外大街,16,27428.4,77.35,89.17,70.6109,主干路,2018
鼓楼外大街,16,15917.4,74.2,71.13,28.857668,主干路,2018
广安路,16,21322.7,88.73,92.9,1.34829,主干路,2018
广场西侧路,16,15157,75.01,79.96,0.79969,主干路,2018
广渠门内大街,16,9662,79.09,80.95,67.5663,主干路,2018
广顺北大街,16,18411,83.24,85.06,0.7934,主干路,2018
广顺南大街,16,23100,69.94,72.12,8.89114,主干路,2018
红军营南路,16,62056,76.47,85.2,8.4831,主干路,2018
湖光中街,16,63867,79.34,85.12,7.7902,主干路,2018
花园东路,16,37230.307,69.23,85.79,2.143367,主干路,2018
化工路北段,16,22759.1,76.35,87.96,1.891193,主干路,2018
化工路南段,16,18365,90.69,87.06,0.0265,主干路,2018
黄康路（黄楼路）,16,25444,68.58,100,3.528583,主干路,2018
惠新西街,16,105362.9,74.03,79.68,367.885028,主干路,2018
建国路,16,8505.9,86.38,76.84,14.3222,主干路,2018
建国门内大街,16,46400,84.7,77.39,0.21733,主干路,2018
建国门外大街,16,59846.4,82.22,76.13,95.416,主干路,2018
交道口东大街,16,26938.8,67.57,69.06,106.266672,主干路,2018
金顶西街,16,32341.1,89.73,86.07,38.4986,主干路,2018
G4辅路（京石右侧辅路）,16,25787.5,86.22,89.98,8.2582,主干路,2018
G4辅路（京石左侧辅路）,16,104639.2,83.7,83.48,156.3082,主干路,2018
静安西街,16,8020,98,86.68,0.1709,主干路,2018
酒仙桥路,16,24779.3,88.39,84.26,35.304326,主干路,2018
科技大道,16,21694.3,83.84,89.37,3.478638,主干路,2018
莲花池东路右辅路,16,30512.1,81.84,88.42,108.0186,主干路,2018
莲花池东路左辅路,16,35528.8,85.89,81.05,0.1583,主干路,2018
莲花池西路右侧辅路,16,71911.22,84.65,92.57,22.421784,主干路,2018
莲花池西路左侧辅路,16,74100.4,84.67,93.87,8.719598,主干路,2018
鲁谷东街（北段）,16,28597.3,90.51,84.06,2.538836,主干路,2018
骡马市大街,16,49722.12,91.22,83.45,0.397102,主干路,2018
马家堡东路,16,6068.2,91.23,89.64,0.0633,主干路,2018
茂林居西路（北蜂窝北路）,16,8372.3,93.07,85.21,6.6402,主干路,2018
南宫南路,16,164853,84.73,86.42,36.47598,主干路,2018
南磨房路,16,80952,87.28,88.36,1.044,主干路,2018
农大南路,16,16779,90.88,84.38,65.4687,主干路,2018
前门东大街,16,22318.8,85.25,84.25,11.7997,主干路,2018
前门西大街,16,143179.9,82.85,80.65,309.3559,主干路,2018
青年路,16,4309,78.77,83.73,0.422,主干路,2018
人民大会堂南侧路,16,7009,73.52,87.26,133.5026,主干路,2018
三环路内环辅路,16,17564,89.2,70.21,172.810865,主干路,2018
三环路外环辅路,16,31555,68.57,86.29,40.791325,主干路,2018
三里河路,16,36612.25,70.57,88.03,76.238639,主干路,2018
双龙路,16,16856.2,75,78.92,167.9847,主干路,2018
四环路内环辅路,16,31121.7,79.34,84.73,3.2473,主干路,2018
四环路外环辅路,16,11773,80.77,82.94,0.4464,主干路,2018
通惠河北路右侧辅路,16,13840,95.84,87.97,87.34901,主干路,2018
通惠河北路左侧辅路,16,13841,95.63,93.36,51.91012,主干路,2018
阜安路（望京新干线）,16,7261,86.92,88.27,3.8128,主干路,2018
魏公村路,16,38938.7,89.73,90.15,30.8766,主干路,2018
温阳路,16,20287.5,91.74,87.76,8.6908,主干路,2018
五环路辅路,16,35310,81.39,83.91,408.6498,主干路,2018
五四大街,16,38933.9,77.35,85.39,9.8532,主干路,2018
西大望路,16,88297.2,93.63,88.44,10.72316,主干路,2018
西大望路,16,27637.7,94.3,94.16,21.216104,主干路,2018
西四东大街,16,9518,93.81,91.08,0.021522,主干路,2018
西五环中路（京原路）,16,15000,82.12,81.83,1.373196,主干路,2018
西直门内大街,16,93131,77.65,76.06,210.37,主干路,2018
西直门外大街右侧辅路,16,12376.2,92.5,80.81,0,主干路,2018
西直门外大街左侧辅路,16,12175.6,84.94,89.35,0.5739,主干路,2018
香河园路,16,10632,88.67,87.39,93.5302,主干路,2018
霄云路,16,7956,100,90.72,83.82513,主干路,2018
小府路,16,109200,88.01,86.08,51.521742,主干路,2018
新街口北大街,16,41920,67.4,68.2,12.615074,主干路,2018
新康路,16,13584,88.26,82.75,141.7294,主干路,2018
信息路,16,15408,94.27,84.56,2.846,主干路,2018
星火西路,16,25726,79.08,87.88,1.681,主干路,2018
宣武门东大街,16,18088,84.75,79.42,0.6583,主干路,2018
宣武门外大街,16,65100,87.05,87.58,102.894772,主干路,2018
宣武门西大街,16,52980,79.87,68.06,4.5638,主干路,2018
学清路,16,33941,63.73,97.28,5.736393,主干路,2018
学院路,16,17517,90.1,83.06,109.364347,主干路,2018
学院路,16,7999,97.7,93.47,0.621,快速路,2018
学院路右侧辅路,16,20218.2,71.42,76.16,31.4916,主干路,2018
学院路左侧辅路,16,20617,67.35,69.52,7.4205,主干路,2018
姚家园路(姚家园新路）,16,16108,78.81,81.53,38.372111,主干路,2018
颐和园路,16,12003.5,98.01,91.15,37.93298,主干路,2018
樱花园东街,16,112080,77.84,77.06,192.56025,主干路,2018
雍和宫大街,16,36650,66.49,99.46,15.3232,主干路,2018
裕民中路,16,10765,78.68,81.83,0.2912,主干路,2018
圆明园东路,16,5891.5,90.06,89.96,0.2897,主干路,2018
远大路,16,13558.5,88.77,92.83,3.9141,主干路,2018
展览馆路,16,5957,85.56,82.64,0.15192,主干路,2018
展览馆路,16,44150.2,86.2,88.3,0.7258,主干路,2018
张自忠路,16,33554.7,83.43,83.68,3.4165,主干路,2018
志新东路（花园东路）,16,29449.5,85.01,87.56,16.8228,主干路,2018
中关村东路（清华南路）,16,25872,82.25,87.58,104.5942,主干路,2018
珠市口东大街,16,6883,82.84,87.06,2.6231,主干路,2018
珠市口西大街,16,5653.5,86,88,0.1245,主干路,2018
紫竹院路右侧辅路,16,22755.9,82.73,86.58,140.6045,主干路,2018
北长街,16,13573,88.93,80.09,169.4208,次干路,2018
北京站东街,16,23470,89.76,88.39,0,次干路,2018
北京站西街,16,129600,68.45,98.44,0,次干路,2018
北坞村路,16,22184,86.62,92.29,3.7881,次干路,2018
北新华街,16,17186,82.9,91.83,164.7248,次干路,2018
长青路,16,23947,84.57,93.51,59.824,次干路,2018
稻香湖路,16,12420,85.09,90.89,21.6558,次干路,2018
地安门外大街,16,7163,80.21,99.86,24.3223,次干路,2018
东安门大街,16,7563.7,68.33,100,9.892209,次干路,2018
东四西大街,16,18263.8,84.23,86.46,63.14257,次干路,2018
大灰厂东路（杜家坎铁路立交）,16,5423.9,67.81,100,7.583635,次干路,2018
垡头路（垡头南路）,16,81073,78.94,82.96,15.4403,次干路,2018
芳园西路,16,22608,80.14,90.17,0.6182,次干路,2018
府右街,16,10913,77.06,86.89,54.7142,次干路,2018
阜荣街（望京中一街）,16,117600,82.85,82.02,216.487476,次干路,2018
工人体育场南路1,16,7250,84.79,89.95,63.0474,次干路,2018
工人体育场南路2,16,45844,84.62,84.03,48.738408,次干路,2018
工人体育场南路3,16,8214,95.63,96.2,0.1519,次干路,2018
鼓楼东大街,16,3610.5,79.63,86.99,0.3861,次干路,2018
广场东侧路,16,29120,99.28,92.9,111.5606,次干路,2018
广顺北大街北段,16,4200.2,95.09,79.95,57.3419,次干路,2018
红军营东路,16,21223.8,83.04,88.2,17.793822,次干路,2018
交道口南大街,16,36298,86.97,84.76,70.6557,次干路,2018
金宝街,16,16701,77.03,66.4,33.97209,次干路,2018
金鱼胡同,16,15695.5,79.86,80.83,0,次干路,2018
景山东街,16,14172,67.96,99.62,0.9685,次干路,2018
景山后街,16,24626.8,77.45,86.36,0.5613,次干路,2018
景山前街,16,22945,69.95,69.58,12.156294,次干路,2018
景山西街,16,37965,72.44,71.33,38.548,次干路,2018
来广营东路,16,6721,89.99,84.82,6.7087,次干路,2018
利泽西街,16,5451,90.08,85.65,4.572,次干路,2018
柳芳北街,16,21006,83.64,83.21,2.35486,次干路,2018
槐房西路（马家堡西路南延）,2,34747.5,98.74,95.78,0,次干路,2018
美术馆东街,2,30635.4,90.23,87.6,0.3777,次干路,2018
闵庄路,2,51657.9,95.45,93.76,0.1118,次干路,2018
南长街,2,34658.8,92.76,94.46,0.7121,次干路,2018
闹市口北街,2,15826,90.47,95.85,15.0167,次干路,2018
闹市口南街,2,15825,97.31,93.99,63.2468,次干路,2018
西局北街（人民村南路）,2,90329,89.32,97.64,4.1483,次干路,2018
香山南路（射击场南路）,2,90010.1,96.47,99.31,4.3156,次干路,2018
太阳宫中路,2,275236.5,94.91,81.08,1.213883,次干路,2018
田村路,2,283615.3,91.74,82.01,0.727268,次干路,2018
王府井大街,2,20770,89.23,96.8,0.0211,次干路,2018
西安门大街,2,9399.2,86.51,89.66,0.0865,次干路,2018
姚家园路,2,22678.5,87.64,95.64,4.064598,次干路,2018
月坛北街,2,24552,84.99,96.6,0.764453,次干路,2018
月坛南街,2,11378.6,93.55,89.21,0,次干路,2018
正义路东线,2,48624,94.46,94.38,0.1055,次干路,2018
正义路西线,2,27723.5,92.09,93.26,0.1182,次干路,2018
中环路,2,95399,84.95,96.18,0.39246,次干路,2018
德胜门外大街左侧辅路,2,32544,88.45,94.16,13.0218,主干路,2019
东直门内大街,2,44698.8,93.91,93.52,207.3965,主干路,2019
和平里西街,2,43811.1,94.65,91.13,2.39696,主干路,2019
劲松路,3,26564.5,97.85,94.04,0,主干路,2019
京开路右辅路,3,20427,92.97,88.76,0.0106,主干路,2019
京开路左辅路,3,34800,86.93,91.11,2.7841,主干路,2019
京通快速路辅路,3,144392,96.54,93.61,0.46,主干路,2019
京通快速路辅路,3,143726.61,95.3,91.28,3.1221,主干路,2019
四环路内环辅路,3,148102,89.99,91.23,3.5614,主干路,2019
四环路外环辅路,3,5130,93.65,87.58,0.0211,主干路,2019
土城西侧路,3,14829,82.34,84.48,0.9094,主干路,2019
西四南大街,3,8700,91.85,97.25,0.1625,主干路,2019
西直门北大街右侧辅路,3,17748,86.23,89.08,0.2388,主干路,2019
西直门北大街左侧辅路,3,15060,92.01,91.87,2.58775,主干路,2019
新街口南大街,3,7142.5,88.8,86.73,0.8735,主干路,2019
阜安西路,3,20227.1,89.34,86.31,0.2279,次干路,2019
和平里东街,3,7410.8,84.21,91.97,0.0633,次干路,2019
后厂村路（东北旺北路）,3,14941,88.29,93.61,9.2813,主干路,2019
天坛路,4,104131.6,95.98,96.25,19.66542,次干路,2019
望京街,4,24174,92.22,91.95,141.5303,次干路,2019
香山路,4,47384.6,86.69,91.87,2.429982,次干路,2019
德胜门外大街右侧辅路,4,47217.3,91.57,93.75,2.370582,主干路,2019
虎坊路,4,63277.793,90.49,91.55,2.92271,主干路,2019
来广营西路,4,38682.1,90.02,91.54,1.9017,主干路,2019
石景山路,4,16595,82.99,82.57,3.4947,主干路,2019
四环路内环辅路,4,96949.1,89.53,91.54,1.046055,主干路,2019
四环路外环辅路,4,48009.9,86.5,94.2,1.659374,主干路,2019
西单北大街,4,84878.9,83.42,88.97,1.537424,主干路,2019
西单北大街,4,42032.7,93.57,97.26,1.457166,主干路,2019
西四北大街,4,14770,97.5,95.68,0.00422,主干路,2019
北池子大街,4,78489,94.37,93.17,0.92207,次干路,2019
北河沿北大街,4,28240,95.18,99.15,0.51062,次干路,2019
北河沿南大街,4,84052,93.49,95.49,1.477,次干路,2019
地安门内大街,4,8130.3,91.84,94.09,0.1329,次干路,2019
鼓楼西大街,4,37142,99.1,97.73,0,次干路,2019
旧鼓楼大街,5,20811.5,86.99,89.32,1.25967,次干路,2019
南河沿大街,5,136009,87.42,83.47,9.0706,次干路,2019
G6辅路（八达岭左侧辅路）,5,21272.9,90.65,88.07,128.2807,主干路,2019
长椿街,5,79139,87.51,88.43,1.965579,主干路,2019
京通快速路辅路,5,77435.4,88.23,88.01,3.753139,主干路,2019
京通快速路辅路,5,67638.8,88.99,96.48,0.812983,主干路,2019
莲花池西路右侧辅路,5,69286.1,87.35,92.1,32.321465,主干路,2019
莲花池西路左侧辅路,5,67794.6,86.37,91.11,16.740601,主干路,2019
牛街,5,58981.3,86.35,92,1.892881,主干路,2019
三环路内环辅路,5,74880,85.26,87.84,174.63862,主干路,2019
三环路内环辅路,5,14994.5,85.86,89.64,35.37117,主干路,2019
三环路外环辅路,5,69732,88.61,87.75,0.7604,主干路,2019
三环路外环辅路,5,35247,85.29,83.6,50.7612,主干路,2019
西土城路,5,16725.3,88.91,80.24,0.3608,主干路,2019
知春路,6,159643,87.12,87.13,31.6586,主干路,2019
建材城东路,6,33698.3,89.61,84.9,19.4255,次干路,2019
建材城西路,6,98343,84.97,93.77,48.649025,次干路,2019
南池子大街,6,86099.2,81.49,91.66,50.279555,次干路,2019
望京东路,6,5700,79.11,77,1.724686,主干路,2019
北蜂窝路,6,38643.82,85.12,81.26,115.73818,主干路,2019
朝阳路,6,79669,95.85,84.52,87.3982,主干路,2019
光明路,6,22773,91.77,89.46,21.632552,主干路,2019
三环路内环辅路（蓟门桥-安贞桥）,6,62746,84.78,84.89,215.203358,主干路,2019
三环路内环辅路（赵公口桥-玉泉营桥）,8,10440,91.68,92.81,1.33985,主干路,2019
三环路内环辅路（玉泉营桥-丽泽桥）,8,34381.3,83.53,91.95,72.203986,主干路,2019
三环路外环辅路（蓟门桥-安贞桥）,8,30100.8,81.29,88.59,3.926593,主干路,2019
三环路外环辅路（赵公口桥-玉泉营桥）,8,39356.5,84.07,79.75,169.3535,主干路,2019
三环路外环辅路（玉泉营桥-丽泽桥）,8,50252.1,86.46,89.66,115.4933,主干路,2019
上地西路,8,18256.4,83.96,79.58,7.559345,主干路,2019
体育馆路,8,43130,88.49,82.77,529.922419,主干路,2019
望京北路,9,870062,89.45,86.82,184.1762,主干路,2019
新街口外大街,9,21742,85.04,87.39,0.8651,主干路,2019
美术馆后街,9,30984,77.34,89.67,45.2268,次干路,2019
阜成路,9,16694.5,78.24,78.97,3.1988,主干路,2019
G4辅路（京石右侧辅路）,9,118126.4,85.19,86.1,55.127194,主干路,2019
三环路内环辅路（紫竹院桥-蓟门桥）,9,23584.8,90.31,88.78,15.844853,主干路,2019
三环路外环辅路（紫竹院桥-蓟门桥）,9,294330,88.14,86.1,3.7685,主干路,2019
杨庄大街,9,61289.3,82.73,81.64,4.7568882,主干路,2019
卢沟桥南路,9,12975,75.35,83.69,0.8335,主干路,2019
周口店路,9,14310.1,88.61,94.46,30.249489,次干路,2019
后八家路（八家南北线）,9,41195.6,84.95,92.22,15.107736,主干路,2019
西三旗东路,9,36066.7,82.86,88.14,21.259782,主干路,2019
南蜂窝路,9,12528.4,82.8,98.01,22.864072,主干路,2019
三环路内环辅路（航天桥-紫竹院桥）,9,9252.3,87.67,81.08,24.5516,主干路,2019
三环路外环辅路（航天桥-紫竹院桥）,9,468646.3,84.18,87.97,849.970535,主干路,2019
三里河东路,9,207217,86.68,90.87,31.9508,主干路,2019
新东路,9,45360.6,82.28,89.63,6.3279,主干路,2019
安定门内大街,9,28312.8,83.48,88.86,0.517,次干路,2019
闵庄路,9,208107,88.18,92.37,1.3715,次干路,2019
二环路,9,337189,97.49,93.62,0.710437,主干路,2019
东单北大街,9,71308.9,78.55,75.1,45.379877,主干路,2019
东四北大街,10,33086,81.78,73.83,2.7198,主干路,2019
东四南大街,10,87205.5,88.7,93.35,243.671,主干路,2019
二环路外环辅路（小街桥-西便门桥）,10,44920.5,88.33,84.1,68.04974,主干路,2019
二环路外环辅路（广安门桥-莱户营桥）,10,10658,99.53,92.82,0.0106,主干路,2019
京密路（京顺路）,10,108806,88.77,92.35,97.1856,主干路,2019
酒仙桥路,10,50653.8,85.67,87.48,0.9809,主干路,2019
酒仙桥南路,10,40080,80.56,88.52,7.68923,主干路,2019
三环路内环辅路（燕莎桥-农展桥）,10,84760,81.23,82.33,323.0187,主干路,2019
三环路内环辅路（光华桥-劲松桥）,10,13692.5,84.81,81.22,0,主干路,2019
三环路外环辅路（光华桥-劲松桥）,11,80694.4,88.89,96.31,15.3594,主干路,2019
三环路外环辅路（燕莎桥-农展桥）,11,20268,100,100,67.8243,主干路,2019
永定路,11,316491.33,90.99,91.1,103.239105,次干路,2019
阜石路辅路,11,3261126,97.76,83.56,76.023656,主干路,2019
阜石路辅路,11,16353,80.21,83.62,24.925637,主干路,2019
阜石路辅路,11,8744.5,88.72,88.31,6.6522,主干路,2019
金榆路（温榆河大道）,11,242814.25,90.96,83.97,307.600309,主干路,2019
金榆路（温榆河大道）,11,57460.55,89.74,84.42,0.874173,主干路,2019
康营东路（温榆河大道）,11,72843.282,87.71,90.53,8.1771638,主干路,2019
榴乡路（蒲黄榆路）,11,12301.98,84.28,100,0.24735,主干路,2019
阜石路,11,83082.81,84.34,89.63,7.2001439,快速路,2019
阜石路,11,141018.2,87.77,84.4,61.721715,快速路,2019
阜石路,11,169285.72,88.03,87.99,132.187749,快速路,2019
杏石口路,11,63039.4,86.27,86.98,7.07079,主干路,2019
北苑路北段,11,64400,83.13,90.11,3.2135,主干路,2019
东长安街,11,115053.14,91.22,94.39,7.380202,主干路,2019
京密路（京顺路）,11,271131.73,86,89.45,355.840348,主干路,2019
手帕口北街,11,29103,88.65,91.64,104.92689,主干路,2019
西长安街,11,82599,90.74,87.62,26.920641,主干路,2019
北湖渠路(鼎成路),11,82351.8,86.82,84.55,48.1306286,主干路,2019
万寿路,11,144684.05,85.2,84.6,166.16425,主干路,2019
望京西路,11,23324,80.7,82.76,32.5507,主干路,2019
永定路,11,57151.5,85.5,85.24,67.810312,次干路,2019
广渠路,11,38815.18,81.48,86,19.686714,主干路,2019
广渠路,11,66248,88.01,78.02,23.03773,主干路,2019
前门大街,11,130225.25,79.06,79.81,23.189,主干路,2019
四环路内环辅路（正阳桥-志新桥）,12,58939.4,88.49,83.17,68.069096,主干路,2019
四环露外环辅路（正阳桥-志新桥）,12,90620,87.64,81.81,55.97692,主干路,2019
西大望路,12,15436,81.11,89.82,39.9032,主干路,2019
东华门大街,12,27633.8,81.81,86.42,2.78515,次干路,2019
安立路,12,12840.2,93.77,82.61,0,主干路,2019
安立路,12,3922.4,93.77,84.89,0,主干路,2019
奥林西路,12,11500,82.91,78.14,15.86485,主干路,2019
北辰东路,12,47514,82.91,76.64,19.73718,主干路,2019
北辰桥改造道路,12,14820,89.63,82.58,17.556937,主干路,2019
北辰西路,12,36918.72,97.95,97.48,9.431828,主干路,2019
北辰西路,12,111047.5,83.96,83.07,34.479021,主干路,2019
北土城东路,12,79549.97,85.39,90.66,9.9183,主干路,2019
大屯路,12,73814.5,91.06,88.46,11.881593,主干路,2019
高梁桥路,12,168837.4,90.94,89.14,113.832234,主干路,2019
和平里北街,12,31549,80.3,81.47,90.2305,主干路,2019
慧忠路,12,57396.5,88.21,84.98,121.444548,主干路,2019
机场二通道辅路,12,60807.5,82.52,88.99,79.384038,主干路,2019
姜庄路,12,34094.63,83.98,87.98,242.792853,主干路,2019
康辛路,13,9920.2,86.71,81.23,5.155000512,主干路,2019
林萃路,13,38933.9,84.85,86.79,37.93978139,主干路,2019
马连洼北路,13,16108,87.36,98.71,468.48781,主干路,2019
陶然亭路,13,92478,96.66,92.26,64.681534,主干路,2019
北京西站南路(西客站南路),13,12530,84.39,100,224.780078,主干路,2019
小营西路,13,88618.2,86.71,80.95,9.20721275,主干路,2019
