道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
1,2017,1,0.198,0.0211,0,0,70.97,26564.5,1,0,0,0,83.3082354,97.92,14.6117646
2,2017,1,0,0.0464,0,0,70.84,20427,1,0,0,0,83.22019616,86,2.779803845
3,2017,1,3.874815,1.0812,0,1.2056,94.15,143726.61,1,0,0,0,90.35563653,84.2,-6.155636529
4,2017,1,3.92552,1.1732,0,0,95.37,148102,1,0,0,0,90.70455674,79.23,-11.47455674
5,2017,1,0,0.0464,0,0,99.29,8700,0,1,0,0,91.10874063,91.61,0.50125937
6,2017,1,0,0,0,0,99.43,17748,0,1,0,0,91.22783133,91.92,0.692168674
7,2017,1,0,0,0,0,99.43,15060,0,1,0,0,91.20722656,92.88,1.672773445
8,2017,1,0,0,0,0,99.2,14941,0,1,0,0,91.13508249,93.77,2.634917507
9,2017,2,0,0.1224,0,0,92.07,16595,1,0,0,0,88.89321284,94.74,5.846787159
10,2017,2,0.9301,0.206358,0,0,87.8,96949.1,1,0,0,0,88.26853154,85.76,-2.508531539
11,2017,2,0,0.249824,0,0,92.79,48009.9,1,0,0,0,89.30682089,87.18,-2.126820886
12,2017,2,0.53434,0.029962,0,0,88.84,84878.9,1,0,0,0,88.49320613,85.66,-2.833206133
13,2017,2,0.1755,0.315445,0,0,99.18,42032.7,1,0,0,0,91.02886916,87.16,-3.868869157
14,2017,2,0,0.0422,0,0,82.49,28240,0,1,0,0,85.84018399,99.42,13.57981601
15,2017,3,30.663048,0.2469,0,0,94.31,136009,1,0,0,0,89.5773972,84.94,-4.637397195
16,2017,3,0,0.6815,0,0,96.89,21272.9,1,0,0,0,90.02099187,88.77,-1.250991874
17,2017,3,0,0.254888,39.90675,0,92.24,79139,1,0,0,0,89.18412771,84.09,-5.094127715
18,2017,3,0.16698,0.649036,0,6.16,92.52,77435.4,1,0,0,0,89.18788693,85.86,-3.327886928
19,2017,3,0.410964,0.284639,0,49.5,90.81,67368.8,1,0,0,0,88.56430777,83.69,-4.874307766
20,2017,3,0.20094,1.341116,63.160037,5.53,93.96,69286.1,1,0,0,0,89.45100452,84.01,-5.441004519
21,2017,3,0.788077,1.441974,0,0,92.17,67794.6,1,0,0,0,88.94110985,85.8,-3.14110985
22,2017,3,0,0.617386,0,0,91.49,58981.3,1,0,0,0,88.79370688,83.76,-5.033706877
23,2017,3,0,1.2533,17.701,0,82.91,74880,1,0,0,0,86.47145822,83.84,-2.63145822
24,2017,3,0,0.6478,0,15.5089,95.77,21943,1,0,0,0,89.67371367,85.71,-3.963713673
25,2017,3,0,0.2585,0,0,93.65,69732,1,0,0,0,89.50833066,90.04,0.531669338
26,2017,3,0,0.1161,0,0,84.34,16725.3,0,1,0,0,86.10224422,78.78,-7.322244225
27,2017,4,0,0.055282,8.342493,0.822,88.26,98343,1,0,0,0,88.0597173,86.36,-1.699717295
28,2017,4,2.47463,1.154803,42.15951,0,94.69,86099.2,1,0,0,0,89.57930044,86.43,-3.149300437
29,2017,4,0,0,0,0,92.9,5700,1,0,0,0,88.67672592,82.61,-6.066725919
30,2017,4,10.34724,2.256852,0,0,94.46,38643.82,1,0,0,0,88.91834061,84.01,-4.908340609
31,2017,5,3.7332,0.1646,0,0,95.92,64561.7,1,0,0,0,89.67455956,87.9,-1.774559559
32,2017,5,0,0.5302,288.342,44.5682,81.62,60235.9,1,0,0,0,85.58195014,81.33,-4.251950142
33,2017,5,0,0.3557,0,0,81.48,87091.1,1,0,0,0,85.8934673,81.33,-4.563467299
34,2017,5,0.81696,2.0868,0,0,83.99,97916.4,1,0,0,0,86.47429442,86.08,-0.394294424
35,2017,5,6.46846,1.146574,0,0,91.87,88075,1,0,0,0,88.56888301,85.05,-3.51888301
36,2017,5,0,0.97271,20.704,38.27,93.3,77109.6,1,0,0,0,88.91483267,84.66,-4.254832673
37,2017,5,2.0401,0.1498,0,3.75,95.76,10986,0,0,0,1,86.81268337,93.19,6.377316635
38,2017,6,0,1.2217,63.7621,18.34,73.56,27816,1,0,0,0,82.90518599,80.71,-2.19518599
39,2017,6,0.36443,0.633844,8.3424926,0,90.61,34381.3,1,0,0,0,87.80438931,86.53,-1.274389312
40,2017,6,0.297,0.39035,14.159438,5.6992,86.57,30100.8,1,0,0,0,86.65356239,86.71,0.056437607
41,2017,6,0,0.43466,68.6058,0,81.38,39356.5,1,0,0,0,85.29176422,84.24,-1.051764222
42,2017,6,37.966426,1.0955,20.2058,0,81.88,50252.1,1,0,0,0,84.92158243,83.18,-1.741582434
43,2017,6,0,1.0634,73.7094,0.53,84.41,18256.4,0,1,0,0,85.42819059,81.31,-4.11819059
44,2017,7,20.9046,0.2152,0,0,84.09,21742,1,0,0,0,85.4451904,81.1,-4.345190396
45,2017,7,7.3614,0.6984,0,0.1626,93.61,30984,1,0,0,0,88.31221405,84.11,-4.20221405
46,2017,7,16.0104,0.3439,0,0,84.44,16694.5,1,0,0,0,85.55828028,81.23,-4.328280282
47,2017,7,7.0737,0.4969,0,0,83.49,12975,1,0,0,0,85.37858439,83.05,-2.328584394
48,2017,7,0,0.303418,0,0,92.18,14310.1,1,0,0,0,87.95697955,85.45,-2.506979553
49,2017,7,15.123165,0.33971,9.270625,0,87.4,41195.6,1,0,0,0,86.58065952,83.94,-2.640659522
50,2017,7,0.3213,0.276199,19.76436,0,94.76,12528.4,1,0,0,0,88.66722464,82.44,-6.227224637
51,2017,7,1.6422,1.545786,9.270625,0,87.22,36066.7,1,0,0,0,86.57258132,86.2,-0.372581317
52,2017,7,2.385344,3.630888,0,15.755,84.91,468646.3,0,0,1,0,90.4885873,88.31,-2.178587303
53,2017,7,2.385344,3.630888,0,15.755,84.91,468646.3,0,0,1,0,90.4885873,88.31,-2.178587303
54,2017,7,2.385344,3.630888,0,15.755,84.91,468646.3,0,0,1,0,90.4885873,88.31,-2.178587303
55,2017,7,0,1.3989,0,0,94.24,207217,1,0,0,0,89.78048181,86.16,-3.620481811
56,2017,7,0,0.2289,0,0,94.02,45360.6,1,0,0,0,88.71432303,84.88,-3.834323032
57,2017,7,0,0.154,0,0,93.18,28312.8,1,0,0,0,88.36059869,84.12,-4.240598688
58,2017,7,1.520208,2.81112,0,9.03,91.33,208107,1,0,0,0,88.80720372,87.64,-1.167203723
