道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
61,2019,5,0.81294,2.695525,0,13.053,87.35,69286.1,1,0,0,0,87.08267751,92.1,5.017322494
62,2019,5,12.00133,4.739271,0,0,86.37,67794.6,1,0,0,0,86.45050266,91.11,4.659497343
63,2019,5,0,1.892881,0,0,86.35,58981.3,1,0,0,0,86.85834873,92,5.141651269
64,2019,5,0,10.63862,164,0,85.26,74880,1,0,0,0,85.78974684,87.84,2.050253164
65,2019,5,21.2812,4.526,0,9.56397,85.86,14994.5,1,0,0,0,85.76194955,89.64,3.878050447
66,2019,5,0,0.7604,0,0,88.61,69732,1,0,0,0,87.6876049,87.75,0.062395102
67,2019,5,48.4676,2.2936,0,0,85.29,35247,1,0,0,0,85.62520473,83.6,-2.025204735
68,2019,5,0,0.3608,0,0,88.91,16725.3,0,1,0,0,87.10569554,80.24,-6.865695537
69,2019,6,15.798136,6.86172,8.998744,0,87.12,159643,1,0,0,0,86.89679173,87.13,0.233208271
70,2019,6,16.577,2.8485,0,0,89.61,33698.3,1,0,0,0,87.0201641,84.9,-2.120164096
71,2019,6,2.26194,31.10351,2.230575,13.053,84.97,98343,1,0,0,0,83.90122586,93.77,9.868774145
72,2019,6,1.3365,20.56828,20.030575,8.3442,81.49,86099.2,1,0,0,0,83.75795777,91.66,7.902042232
73,2019,6,1.454606,0.27008,0,0,79.11,5700,1,0,0,0,84.38077812,77,-7.380778122
74,2019,6,12.2752,1.1605,102.30248,0,85.12,38643.82,1,0,0,0,86.06298022,81.26,-4.80298022
75,2019,6,18.2895,1.3715,0,67.7372,95.85,79669,0,1,0,0,88.9039108,84.52,-4.383910801
76,2019,6,21.615672,0.01688,0,0,91.77,22773,1,0,0,0,87.7487624,89.46,1.711237596
77,2019,6,47.718698,1.25756,163.5,2.7271,84.78,62746,1,0,0,0,85.6288296,84.89,-0.738829602
78,2019,8,0,1.33985,0,0,91.68,10440,1,0,0,0,87.49662888,92.81,5.313371118
79,2019,8,13.233075,1.049936,2.230575,55.6904,83.53,34381.3,1,0,0,0,85.10707015,91.95,6.842929852
80,2019,8,0,1.696018,2.230575,0,81.29,30100.8,1,0,0,0,84.70512288,88.59,3.88487712
81,2019,8,15.3688,0.8567,0,0,84.07,39356.5,1,0,0,0,85.42112994,79.75,-5.671129936
82,2019,8,103.5667,3.4066,8.52,0,86.46,50252.1,1,0,0,0,84.75314926,89.66,4.90685074
83,2019,8,0,3.6587,3.900645,0,83.96,18256.4,0,1,0,0,84.5981159,79.58,-5.018115904
84,2019,8,90.491689,1.20903,143.4897,294.732,88.49,43130,0,1,0,0,84.34136236,82.77,-1.571362356
85,2019,9,176.6821,7.4941,0,0,89.45,870062,1,0,0,0,88.67918645,86.82,-1.85918645
86,2019,9,0,0.8651,0,0,85.04,21742,1,0,0,0,85.59894248,87.39,1.791057515
87,2019,9,24.6189,1.7893,0,18.8186,77.34,30984,1,0,0,0,83.09744327,89.67,6.572556726
88,2019,9,0,3.1988,0,0,78.24,16694.5,1,0,0,0,83.41879509,78.97,-4.448795091
89,2019,9,14.7756,5.0408,35.310794,0,85.19,118126.4,1,0,0,0,85.76312384,86.1,0.336876159
90,2019,9,1.5158,0.6309,13.698153,0,90.31,23584.8,1,0,0,0,87.09391783,88.78,1.686082171
91,2019,9,0,3.7685,0,0,88.14,294330,1,0,0,0,88.17847212,86.1,-2.078472124
92,2019,9,0,0.1794,4.5774882,0,82.73,61289.3,1,0,0,0,85.34703039,81.64,-3.707030386
93,2019,9,0,0.8335,0,0,75.35,12975,1,0,0,0,82.8242074,83.69,0.865792598
94,2019,9,5.9238,0.231889,0,24.0938,88.61,14310.1,1,0,0,0,86.45571729,94.46,8.004282709
95,2019,9,6.75923,1.022506,0,7.326,84.95,41195.6,1,0,0,0,85.59732535,92.22,6.622674649
96,2019,9,20.24656,1.013222,0,0,82.86,36066.7,1,0,0,0,84.81194575,88.14,3.328054249
97,2019,9,22.1146,0.749472,0,0,82.8,12528.4,1,0,0,0,84.60586073,98.01,13.40413927
98,2019,9,0,10.6766,0,13.875,87.67,9252.3,0,1,0,0,84.59959869,81.08,-3.519598691
99,2019,9,44.424975,12.08186,109.3707,73.083,84.18,468646.3,1,0,0,0,86.78105223,87.97,1.188947768
100,2019,9,44.424975,12.08186,109.3707,73.083,84.18,468646.3,1,0,0,0,86.78105223,87.97,1.188947768
101,2019,9,44.424975,12.08186,109.3707,73.083,84.18,468646.3,1,0,0,0,86.78105223,87.97,1.188947768
102,2019,9,0,6.4408,25.51,0,86.68,207217,1,0,0,0,86.90836543,90.87,3.96163457
103,2019,9,0,1.8779,4.45,0,82.28,45360.6,1,0,0,0,84.91487506,89.63,4.715124938
104,2019,9,0,0.517,0,0,83.48,28312.8,1,0,0,0,85.25264203,88.86,3.607357972
105,2019,9,0,1.3715,0,0,88.18,208107,1,0,0,0,87.83230353,92.37,4.537696474
106,2019,9,0,0.710437,0,0,97.49,337189,0,0,1,0,93.00496166,93.62,0.615038345
107,2019,9,0,0.710437,0,0,97.49,337189,0,0,1,0,93.00496166,93.62,0.615038345
108,2019,9,0,0.710437,0,0,97.49,337189,0,0,1,0,93.00496166,93.62,0.615038345
109,2019,9,34.007865,3.03418,8.337832,0,78.55,71308.9,1,0,0,0,83.56929052,75.1,-8.469290521
110,2019,10,0,2.7198,0,0,81.78,33086,1,0,0,0,84.41955947,73.83,-10.58955947
111,2019,10,0,0.7005,229.3805,13.59,88.7,87205.5,1,0,0,0,86.94446732,93.35,6.405532684
112,2019,10,67.1186,0.93114,0,0,88.33,44920.5,1,0,0,0,85.56801045,84.1,-1.468010451
113,2019,10,0,0.0106,0,0,99.53,10658,1,0,0,0,89.52463137,92.82,3.295368631
114,2019,10,0,0.6351,90.9955,5.555,88.77,108806,1,0,0,0,87.16089453,92.35,5.189105473
115,2019,10,0,0.9809,0,0,85.67,50653.8,1,0,0,0,85.82773952,87.48,1.652260475
116,2019,10,2.64,5.04923,0,0,80.56,40080,1,0,0,0,83.87171192,88.52,4.648288077
117,2019,10,0,2.3189,320.6998,0,81.23,84760,1,0,0,0,84.72325717,82.33,-2.393257167
118,2019,10,0,0,0,0,84.81,13692.5,0,1,0,0,84.92639403,81.22,-3.706394029
119,2019,11,15.3594,0,0,0,88.89,80694.4,1,0,0,0,86.66603671,96.31,9.643963287
120,2019,11,15.3594,0,0,0,88.89,80694.4,1,0,0,0,86.66603671,96.31,9.643963287
121,2019,11,0,0,0,67.8243,100,20268,1,0,0,0,89.37561624,100,10.62438376
122,2019,11,76.7775,19.465805,0,6.9958,90.99,316491.33,1,0,0,0,86.30196271,91.1,4.798037286
123,2019,11,53.145077,19.536279,0,3.3423,97.76,3261126,1,0,0,0,91.47612602,83.56,-7.916126021
124,2019,11,0,1.1056,18.656037,5.164,80.21,16353,1,0,0,0,83.82983065,83.62,-0.20983065
125,2019,11,6.3906,0.2616,0,0,88.72,8744.5,0,1,0,0,85.79567052,88.31,2.514329479
126,2019,11,45.2114,5.553309,256.8356,0,90.96,242814.25,1,0,0,0,87.38549697,83.97,-3.415496972
127,2019,11,45.2114,5.553309,256.8356,0,90.96,242814.25,1,0,0,0,87.38549697,83.97,-3.415496972
128,2019,11,0,0.874173,0,0,89.74,57460.55,1,0,0,0,86.86555617,84.42,-2.445556171
129,2019,11,0.3927,2.812419,4.9720448,0,87.71,72843.282,1,0,0,0,86.20878596,90.53,4.321214037
130,2019,11,0.24735,0,0,0,84.28,12301.98,1,0,0,0,85.06230291,100,14.93769709
131,2019,11,2.8764,2.334926,1.9888179,0,84.34,83082.81,1,0,0,0,85.37325034,89.63,4.256749659
132,2019,11,2.8764,2.334926,1.9888179,0,84.34,83082.81,1,0,0,0,85.37325034,89.63,4.256749659
133,2019,11,3.213,5.900615,42.9768,9.6313,87.77,141018.2,1,0,0,0,86.37077797,84.4,-1.970777969
134,2019,11,78.0298,11.28217,38.268179,4.6076,88.03,169285.72,1,0,0,0,85.20191379,87.99,2.788086209
135,2019,11,4.14,2.93079,0,0,86.27,63039.4,1,0,0,0,85.66596645,86.98,1.314033546
136,2019,11,1.6854,0.5781,0,0.95,83.13,64400,1,0,0,0,85.08478356,90.11,5.025216441
137,2019,11,6.327945,1.052257,0,0,91.22,115053.14,1,0,0,0,87.59407487,94.39,6.795925134
138,2019,11,1.954458,9.49289,0,56.443,86,271131.73,1,0,0,0,86.43117915,89.45,3.018820846
139,2019,11,1.5302,0.8229,102.57379,0,88.65,29103,1,0,0,0,86.31550683,91.64,5.32449317
140,2019,11,2.7105,3.853282,19.503059,0.8538,90.74,82599,1,0,0,0,86.9754914,87.62,0.644508598
141,2019,11,22.619,3.731957,7.9552716,13.8244,86.82,82351.8,1,0,0,0,85.59505639,84.55,-1.045056388
142,2019,11,11.53031,9.81994,138.4834,6.3306,85.2,144684.05,1,0,0,0,85.2208666,84.6,-0.620866597
143,2019,11,30.9947,0.46,0,1.096,80.7,23324,1,0,0,0,83.71480269,82.76,-0.954802692
144,2019,11,21.50626,3.28316,9.715892,33.305,85.5,57151.5,1,0,0,0,85.05230405,85.24,0.187695948
145,2019,11,17.8987,1.788014,0,0,81.48,38815.18,1,0,0,0,84.08590998,86,1.914090022
146,2019,11,0,1.9539,12.43883,8.645,88.01,66248,1,0,0,0,86.31418327,78.02,-8.294183269
147,2019,11,20.62535,2.56365,0,0,79.06,130225.25,1,0,0,0,84.06847728,79.81,-4.258477278
148,2019,12,65.294046,1.74075,0,1.0343,88.49,58939.4,1,0,0,0,85.36638872,83.17,-2.196388719
149,2019,12,48.07044,3.41398,0,4.4925,87.64,90620,1,0,0,0,85.44063257,81.81,-3.630632567
150,2019,12,9.9731,1.2386,0,28.6915,81.11,15436,0,1,0,0,83.07364653,89.82,6.746353469
151,2019,12,0.96,1.82515,0,0,81.81,27633.8,0,1,0,0,83.53935116,86.42,2.880648842
152,2019,12,0,0,0,0,93.77,12840.2,0,1,0,0,87.39372694,82.61,-4.783726938
153,2019,12,0,0,0,0,93.77,3922.4,0,1,0,0,87.31600998,84.89,-2.426009984
154,2019,12,13.22735,2.6375,0,0,82.91,11500,0,1,0,0,83.45290666,78.14,-5.312906659
155,2019,12,18.57035,1.16683,0,0,82.91,47514,0,1,0,0,83.88704484,76.64,-7.247044837
156,2019,12,17.0364,0.520537,0,0,89.63,14820,1,0,0,0,86.11988342,82.58,-3.53988342
157,2019,12,8.1135,1.318328,0,0,97.95,36918.72,1,0,0,0,88.66219908,97.48,8.817800916
158,2019,12,0.308,5.251171,16.90495,12.0149,83.96,111047.5,1,0,0,0,85.0453255,83.07,-1.975325499
159,2019,12,0,0.6383,9.28,0,85.39,79549.97,1,0,0,0,85.69404487,90.66,4.965955131
160,2019,12,0.54538,0.460613,10.8756,0,91.06,73814.5,1,0,0,0,87.23723319,88.46,1.222766814
161,2019,12,59.927185,1.151849,51.438,1.3152,90.94,168837.4,1,0,0,0,86.93371462,89.14,2.206285379
162,2019,12,10.8869,0.8989,78.4447,0,80.3,31549,1,0,0,0,83.71810662,81.47,-2.24810662
163,2019,12,49.753978,1.15839,50.17398,20.3582,88.21,57396.5,1,0,0,0,85.49257987,84.98,-0.512579875
164,2019,12,37.985118,1.01702,7.3233,33.0586,82.52,60807.5,1,0,0,0,84.14336798,88.99,4.84663202
165,2019,12,0.1785,0.532353,0,0,83.98,34094.63,1,0,0,0,84.94108755,87.98,3.038912446
166,2019,13,0,2.072,2.383000512,0.7,86.71,9920.2,1,0,0,0,85.18694162,81.23,-3.956941621
167,2019,13,16.7374,0.472,19.63438139,1.096,84.85,38933.9,1,0,0,0,84.84536817,86.79,1.944631829
168,2019,13,37.53876,0.74905,430.2,0,87.36,16108,0,1,0,0,84.55625951,98.71,14.15374049
169,2019,13,64.4718,0.209734,0,0,96.66,92478,0,0,1,0,89.67456205,92.26,2.585437953
170,2019,13,64.4718,0.209734,0,0,96.66,92478,0,0,1,0,89.67456205,92.26,2.585437953
171,2019,13,64.4718,0.209734,0,0,96.66,92478,0,0,1,0,89.67456205,92.26,2.585437953
172,2019,13,0,0.274,224.506078,0,84.39,12530,1,0,0,0,84.74142131,100,15.25857869
173,2019,13,0,3.5705,5.63671275,0,86.71,88618.2,1,0,0,0,85.67062877,80.95,-4.720628774
174,2019,13,0,1.3581,0,0,85.49,55249.7,1,0,0,0,85.29445364,88.48,3.18554636
175,2019,13,12.7283,1.781,0,0,89.36,37538.5,1,0,0,0,86.00146943,83.95,-2.051469433
176,2019,13,0,0.6399,0,0,89.21,31326,1,0,0,0,86.21922518,81.11,-5.109225183
177,2019,13,0,4.6104,117.6252,0,85.52,123742.9,1,0,0,0,85.51289107,82.79,-2.722891073
178,2019,13,63.7952,1.7144,0,0,84.37,27074.2,1,0,0,0,83.92239538,86.28,2.357604622
179,2019,13,0,0.059,0,0,100,21165,1,0,0,0,89.25077352,87.27,-1.980773523
180,2019,13,0,0.7524,0,3.1112,85.26,41661.1,1,0,0,0,85.17546744,84.05,-1.125467436
181,2019,13,31.928,6.062,31.7192961,0.86,86.78,64748,1,0,0,0,84.8249898,87.51,2.685010201
182,2019,13,8.5959,1.445,40.3833,0.822,82.63,30857,1,0,0,0,84.17236194,83.7,-0.472361941
183,2019,13,0,0.454,0,0,80.11,16577,0,1,0,0,82.92658191,82.97,0.043418088
184,2019,13,18.683101,1.17105,0,0,78.45,30698,0,1,0,0,82.21245322,73.1,-9.112453219
185,2019,13,3.22172,6.29835,0,0,89.54,19717.8,0,1,0,0,85.11989775,83.87,-1.249897749
186,2019,13,9.1242,2.60585,0,0,83.17,49568,0,1,0,0,83.78949934,78.66,-5.129499338
187,2019,13,7.76105,4.24321,33.841946,0,91.99,39434.5,0,1,0,0,86.23317731,82.96,-3.273177314
188,2019,13,22.626624,1.00014,15.96,4.656,86.86,41524.1,0,1,0,0,84.8275797,83.8,-1.027579701
189,2019,13,0,0.6066,0,0,87.36,23384.2,0,1,0,0,85.23512225,89.95,4.714877748
190,2019,13,31.8614,0,4.909939,0,88.2,129150.8,0,0,1,0,88.25911236,90.68,2.420887642
