道路名称,年份,路龄,无含义,预期达到的pci,车道面积,道路属性（主干路）,道路属性（次干路）,道路属性（支路）,道路属性（快速路）,预测总钱数
453,2023,17,58.26009263,92.08,15220,0,1,0,0,-8.446146323
454,2023,17,58.26007404,85.29,17344.10179,0,1,0,0,-1.966687211
455,2023,17,58.2600478,75.71,126595,0,1,0,0,22.94196396
456,2023,17,58.26006615,82.41,4060,0,1,0,0,-0.889497535
457,2023,17,58.2600341,70.71,147671.2,0,1,0,0,32.08175515
458,2023,17,58.26006861,83.31,31856.2,0,1,0,0,1.868760877
459,2023,17,58.2600433,74.07,75120,0,1,0,0,17.71922613
460,2023,17,58.26005078,76.8,6540.75,0,1,0,0,5.222737823
461,2023,17,58.26006869,83.34,8136,0,1,0,0,-1.273042344
462,2023,17,58.26006502,82,15461,0,1,0,0,1.020065981
463,2023,17,58.26008466,89.17,7925,0,1,0,0,-6.781398642
464,2023,17,58.26005952,79.99,9813,0,1,0,0,2.314869733
465,2023,17,58.26005527,78.44,10898.6,0,1,0,0,4.06938322
466,2023,17,58.26008707,90.05,24810.30162,0,1,0,0,-5.445792251
467,2023,17,58.26007365,85.15,52687.04502,0,1,0,0,2.763698765
468,2023,17,58.26008162,88.06,21721.40067,0,1,0,0,-4.017699877
469,2023,17,58.26007571,85.9,46127.46883,0,1,0,0,1.169675658
470,2023,17,58.26006155,80.73,25163.52441,0,1,0,0,3.601512957
471,2023,17,58.26007439,85.42,11328,0,1,0,0,-2.867065451
472,2023,17,58.26007639,86.15,15436,0,1,0,0,-3.032996184
473,2023,17,58.26005793,79.41,12840.2,0,0,0,1,-87.18707953
474,2023,17,58.26005793,79.41,3922.4,0,0,1,0,14.66446854
475,2023,17,58.26007645,86.17,27311.25,1,0,0,0,12.03133822
476,2023,17,58.26006064,80.4,65842.6,1,0,0,0,24.23132736
477,2023,17,58.26002906,68.87,85220.7,1,0,0,0,42.27153425
478,2023,17,58.26006527,82.09,112338,1,0,0,0,29.05691949
479,2023,17,58.26005607,78.73,50385,1,0,0,0,23.95658959
480,2023,17,58.26006735,82.85,70854.5,1,0,0,0,22.06062695
481,2023,17,58.26002284,66.6,334809,1,0,0,0,86.25949953
482,2023,17,58.26002862,68.71,25356,1,0,0,0,33.01205532
483,2023,17,58.26007132,84.3,131269.75,1,0,0,0,29.1466853
484,2023,17,58.26007346,85.08,34475,0,1,0,0,0.462429911
485,2023,17,58.2600478,75.71,9920.222197,0,1,0,0,6.863003921
486,2023,17,58.26010567,96.84,29327.00334,0,1,0,0,-10.744695
487,2023,17,58.26006502,82,38933.9,1,0,0,0,18.38022889
488,2023,17,58.26008466,89.17,16108,1,0,0,0,7.268310137
489,2023,17,58.26009228,91.95,92477.99238,1,0,0,0,14.99905019
490,2023,17,58.26009302,92.22,12530,1,0,0,0,3.693998939
491,2023,17,58.2600478,75.71,88618.1778,1,0,0,0,33.53432911
492,2023,17,58.26006275,81.17,55249.69999,1,0,0,0,21.74780672
493,2023,17,58.2600716,84.4,37538.5,0,1,0,0,1.53145906
494,2023,17,58.26008332,88.68,61649,0,1,0,0,0.492351847
495,2023,17,58.26011433,100,123742.9,0,1,0,0,-2.018370555
496,2023,17,58.26008976,91.03,52439,1,0,0,0,10.40739318
497,2023,17,58.26006111,80.57,27074.2,1,0,0,0,18.30134379
498,2023,17,58.26007179,84.47,21165,1,0,0,0,13.01060157
499,2023,17,58.26007691,86.34,41661.1,1,0,0,0,13.8892184
500,2023,17,58.26007113,84.23,64748,1,0,0,0,19.57438613
501,2023,17,58.26003977,72.78,83293,1,0,0,0,36.58364634
502,2023,17,58.26005004,76.53,30857,1,0,0,0,23.71993428
503,2023,17,58.26002164,66.16,16577,1,0,0,0,35.12019168
504,2023,17,58.26005842,79.59,30698,1,0,0,0,19.99329323
505,2023,17,58.26006924,83.54,19717.8,1,0,0,0,13.83481488
506,2023,17,58.26004895,76.13,39434.5,1,0,0,0,25.51797058
507,2023,17,58.26006502,82,41524.1,1,0,0,0,18.76105352
508,2023,17,58.26007792,86.71,23384.2,1,0,0,0,10.88886433
509,2023,17,58.26007762,86.6,129150.79,0,1,0,0,11.23976702
510,2023,17,58.26008338,88.7,57686.2,0,0,1,0,11.68859605
511,2023,17,58.26005393,77.95,259200,0,0,1,0,58.90269001
512,2023,17,58.26003799,72.13,105847,0,0,1,0,41.90159033
513,2023,17,58.26007387,85.23,63748,1,0,0,0,18.29046308
514,2023,17,58.26003977,72.78,43960.1,1,0,0,0,30.48773204
515,2023,17,58.2600748,85.57,92646.17,1,0,0,0,22.06062695
516,2023,17,58.26007521,85.72,44090,1,0,0,0,14.92016508
517,2023,17,58.26005585,78.65,50940,1,0,0,0,24.13340102
518,2023,17,58.26007146,84.35,33134.2,1,0,0,0,14.86848174
519,2023,17,58.2600513,76.99,19596,1,0,0,0,21.45946807
520,2023,17,58.26005196,77.23,33910,1,0,0,0,23.32278859
521,2023,17,58.26003374,70.58,116272,1,0,0,0,44.77953648
522,2023,17,58.26002912,68.89,36132,1,0,0,0,34.46462928
