道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,道路名称2,pred
2009,2022,1.0,0.0,0.0,0.0,0.0,87.65,20521.9,1.0,0.0,0.0,0.0,惠新东街,83.38989667105675
2010,2022,1.0,0.0,0.0,0.0,0.0,88.38000000000001,45337.21212,1.0,0.0,0.0,0.0,G1辅路（京沈高速右辅路）,83.72273697811364
2011,2022,1.0,0.0,0.0,0.0,0.0,82.77,45337.21212,1.0,0.0,0.0,0.0,G1辅路（京沈高速左辅路）,82.32322886848449
2012,2022,1.0,0.0,0.0,0.0,0.0,88.18,112080.00000000001,0.0,1.0,0.0,0.0,长青路,84.12936584818362
2013,2022,1.0,0.0,0.0,0.0,0.0,94.26999999999998,118955.00000000001,1.0,0.0,0.0,0.0,四环路内环辅路,85.62874141269921
2014,2022,1.0,0.0,0.0,0.0,0.0,96.12,118955.00000000001,1.0,0.0,0.0,0.0,四环路外环辅路,86.08947322946786
2015,2022,1.0,0.0,0.0,0.0,0.0,82.22999999999999,90620.0,1.0,0.0,0.0,0.0,中关村南大街,82.46606244403124
2016,2022,1.0,0.0,0.0,0.0,0.0,92.5,66248.0,1.0,0.0,0.0,0.0,永定门内大街,84.87798650884628
2017,2022,1.0,0.0,0.0,0.0,0.0,96.84,59296.0,1.0,0.0,0.0,0.0,永定门外大街,85.92344423568248
2018,2022,1.0,0.0,0.0,0.0,0.0,92.98,31549.0,1.0,0.0,0.0,0.0,南新华街,84.79233552438019
2019,2022,1.0,0.0,0.0,0.0,0.0,90.42,21006.0,0.0,1.0,0.0,0.0,中环路,84.1410155543685
2020,2022,1.0,0.0,0.0,0.0,0.0,94.55,121256.7779,1.0,0.0,0.0,0.0,朝阳北路,85.71182090592383
2021,2022,1.0,0.0,0.0,0.0,0.0,90.56,37084.0,0.0,1.0,0.0,0.0,西二旗北路（东北旺北路东段）,84.27964209461211
2022,2022,1.0,0.0,0.0,0.0,0.0,90.56,82351.8,1.0,0.0,0.0,0.0,林萃路,84.48878374624252
2023,2022,1.0,0.0,0.0,0.0,0.0,87.18,21742.0,1.0,0.0,0.0,0.0,东单北大街,83.27965816509723
2024,2022,1.0,0.0,0.0,0.0,0.0,99.69,16694.5,1.0,0.0,0.0,0.0,东四南大街,86.39061659806966
2025,2022,1.0,0.0,0.0,0.0,0.0,97.17,30983.999999999996,1.0,0.0,0.0,0.0,东四北大街,85.8407925364971
2026,2022,2.0,0.0,0.0,0.0,0.0,89.64,86502.12939,1.0,0.0,0.0,0.0,四环路内环辅路,84.12615621113777
2027,2022,2.0,0.0,0.0,0.0,0.0,87.36,89135.44523,1.0,0.0,0.0,0.0,四环路外环辅路,83.57249618422985
2028,2022,2.0,0.0,0.0,0.0,0.0,87.16,22945.0,0.0,1.0,0.0,0.0,月坛北街,83.13002951848506
2029,2022,2.0,0.0,0.0,0.0,0.0,93.14000000000001,37965.0,0.0,1.0,0.0,0.0,月坛南街,84.8001941717863
2030,2022,2.0,0.0,0.0,0.0,0.0,90.29,31554.999999999996,1.0,0.0,0.0,0.0,西直门外大街右侧辅路,83.95904473298788
2031,2022,2.0,0.0,0.0,0.0,0.0,82.81,36612.25,1.0,0.0,0.0,0.0,西直门外大街左侧辅路,82.11660198402404
2032,2022,2.0,0.0,0.0,0.0,0.0,83.89,27851.000000000004,1.0,0.0,0.0,0.0,白纸坊西街,82.33231653743981
2033,2022,2.0,0.0,0.0,0.0,0.0,86.92,26938.8,1.0,0.0,0.0,0.0,农大南路,83.08528840708732
2034,2022,2.0,0.0,0.0,0.0,0.0,86.92,31325.99666,1.0,0.0,0.0,0.0,阜通东大街,83.11206689584255
2035,2022,2.0,0.0,0.0,0.0,0.0,84.51,56649.799999999996,1.0,0.0,0.0,0.0,阜通西大街,82.66399400103091
