道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份
Y354110114,1,12614,56.24,30.4,53.2,12.16,70.89,72.68,主干路,2017
Y376110114,1,17296,51.75,20.7,124.2,10.35,67.64,60.54,主干路,2017
Y390110114,1,4200,19.24,10.4,18.2,4.16,69.55,72.06,主干路,2017
Y391110114,1,4320,19.24,10.4,18.2,4.16,70.59,79.84,主干路,2017
Y369110114,1,4119,12,4.8,28.8,2.4,67.45,68.51,主干路,2017
Y755110114,1,8200,24.75,9.9,59.4,4.95,71.93,68.73,主干路,2017
Y758110114,1,12000,53.28,28.8,50.4,11.52,73.58,71.73,主干路,2017
Y855110114,1,11500,34.5,13.8,82.8,6.9,68.91,68.39,主干路,2017
Y803110114,1,15500,46.5,18.6,111.6,9.3,84.24,66,主干路,2017
Y254110114,1,5625,25.9,14,24.5,5.6,72.68,73.39,主干路,2017
Y277110114,1,16960,75.11,40.6,71.05,16.24,72.69,70.85,主干路,2017
Y009110114,1,31815,95.5,38.2,229.2,19.1,74.26,63.77,主干路,2017
Y019110114,1,10200,30.5,12.2,73.2,6.1,68.05,68.65,主干路,2017
Y203110114,1,13600,41,16.4,98.4,8.2,79.62,64.95,主干路,2017
Y207110114,1,9000,43.6,32.7,21.8,10.9,69.78,82.36,主干路,2017
Y301110114,1,4634,15,6,36,3,65.18,66.11,主干路,2017
Y676110114,1,4290,20.8,15.6,10.4,5.2,69.82,80.8,主干路,2017
Y655110114,1,16840,81.2,60.9,40.6,20.3,67.84,89.8,主干路,2017
Y658110114,1,4850,23.2,17.4,11.6,5.8,85.24,85.64,主干路,2017
Y674110114,1,12140,36.5,14.6,87.6,7.3,65.41,65.98,主干路,2017
CE31110114,2,5772,25.6,19.2,12.8,6.4,79.84,82.03,主干路,2018
CE29110114,2,4757,18,7.2,43.2,3.6,68.08,67.15,主干路,2018
CE30110114,2,4266,14.25,5.7,34.2,2.85,62.86,66.69,主干路,2018
CE19110114,2,3060,21.6,16.2,10.8,5.4,80.13,83.79,主干路,2018
CE02110114,2,5658,26.4,19.8,13.2,6.6,72.72,87.6,次干路,2018
CB22110114,2,6780,40,30,20,10,68.05,87.56,主干路,2018
CB11110114,2,2900,26.27,14.2,24.85,5.68,64.04,73.83,主干路,2018
CB05110114,2,2600,14.25,5.7,34.2,2.85,67.03,65.61,主干路,2018
CH02110114,2,5001,27.75,15,26.25,6,65.2,78.27,主干路,2018
CH18110114,2,2773,11,4.4,26.4,2.2,67.15,62.79,主干路,2018
CH09110114,2,11170,29.25,11.7,70.2,5.85,66.96,69.92,主干路,2018
CG24110114,2,5886,23.5,9.4,56.4,4.7,74.23,67.06,主干路,2018
CD03110114,2,3600,15.75,6.3,37.8,3.15,67.86,67.28,主干路,2018
CD22110114,2,4902,14.75,5.9,35.4,2.95,68.4,68.13,主干路,2018
CD16110114,2,10200,52.5,21,126,10.5,73.17,69.75,次干路,2018
CD17110114,2,6020,37.37,20.2,35.35,8.08,72.01,74.84,次干路,2018
C116110114,2,5359,26.27,14.2,24.85,5.68,72.72,78.56,次干路,2018
C137110114,2,3796,14.75,5.9,35.4,2.95,62.82,66.92,次干路,2018
C118110114,2,2525,17.2,12.9,8.6,4.3,69.01,83.83,次干路,2018
C108110114,2,5902,23.5,9.4,56.4,4.7,70.38,69.83,主干路,2018
C107110114,2,5600,32.19,17.4,30.45,6.96,73.15,67.71,主干路,2018
C130110114,2,3414,17.02,9.2,16.1,3.68,71.19,73.78,主干路,2018
Y380110114,2,5937,26.8,20.1,13.4,6.7,82.18,84.51,主干路,2018
Y358110114,2,7250,48.15,42.8,0,16.05,68.82,93.66,主干路,2018
Y352110114,2,10420,55.13,29.8,52.15,11.92,75.39,77.01,主干路,2018
Y391110114,2,2804,4.68,1.95,31.2,1.17,65.99,58.96,主干路,2018
Y390110114,2,5058,13.25,5.3,31.8,2.65,70.32,68.87,主干路,2018
Y356110114,2,2377,21.09,11.4,19.95,4.56,65.15,72.99,主干路,2018
Y355110114,2,9846,46.25,25,43.75,10,65.33,72.05,主干路,2018
Y712110114,2,18356,49.75,19.9,119.4,9.95,73.88,62.04,快速路,2018
Y708110114,2,13974,39,15.6,93.6,7.8,63.84,66.85,主干路,2018
Y531110114,2,14000,143.1,127.2,0,47.7,69.73,90.38,主干路,2018
Y302110114,2,6248,34,25.5,17,8.5,80.56,83.23,主干路,2018
Y303110114,2,4840,23.31,12.6,22.05,5.04,77.5,73.1,主干路,2018
Y308110114,2,6000,23.25,9.3,55.8,4.65,71.49,66.44,主干路,2018
Y107110114,2,10207,42.5,17,102,8.5,56.53,62.93,主干路,2018
Y652110114,2,9893,42.5,17,102,8.5,67.38,65.23,主干路,2018
Y673110114,2,17416,86.95,47,82.25,18.8,71.17,79.15,主干路,2018
Y654110114,2,4476,29.6,22.2,14.8,7.4,63.83,88.1,主干路,2018
Y901110114,2,8086,51.8,28,49,11.2,71.69,75.96,主干路,2018
Y916110114,2,19035,81.25,32.5,195,16.25,68.25,68.02,主干路,2018
Y910110114,2,13124,83.99,45.4,79.45,18.16,78.21,79.53,次干路,2018
Y944110114,2,6392,33.3,18,31.5,7.2,85.38,76.78,主干路,2018
Y254110114,2,7200,38.85,21,36.75,8.4,73.39,74.01,主干路,2018
Y017110114,2,5193,17,6.8,40.8,3.4,66.07,67.1,主干路,2018
Y012110114,2,15041,140.85,125.2,0,46.95,73.86,90.46,主干路,2018
Y054110114,2,14124,73.63,39.8,69.65,15.92,75.73,74.55,主干路,2018
Y014110114,2,4360,28.49,15.4,26.95,6.16,79.8,74.43,主干路,2018
Y007110114,2,5759,36.26,19.6,34.3,7.84,71.29,77.55,主干路,2018
Y055110114,2,14327,90,67.5,45,22.5,78,84.24,主干路,2018
Y897110114,2,6900,22,8.8,52.8,4.4,65.92,68.75,主干路,2018
Y855110114,2,9200,37.75,15.1,90.6,7.55,68.39,68.35,主干路,2018
Y767110114,2,19665,115.25,46.1,276.6,23.05,61.57,60.77,次干路,2018
Y471110114,2,26336,140.23,75.8,132.65,30.32,75.38,72.62,次干路,2018
Y460110114,2,6412,34.78,18.8,32.9,7.52,75.68,72.33,次干路,2018
Y458110114,2,8781,45,40,0,15,83,91.01,次干路,2018
Y480110114,2,11419,42.18,22.8,39.9,9.12,69.79,75.41,主干路,2018
C230110114,2,8011,34.5,13.8,82.8,6.9,69.16,69.64,主干路,2018
C229110114,2,7020,89.54,48.4,84.7,19.36,71.28,70.18,主干路,2018
Y659110114,2,27274,131,52.4,314.4,26.2,66.76,65.92,主干路,2018
Y653110114,2,7730,68.08,36.8,64.4,14.72,70.03,72.27,主干路,2018
Y423110114,2,9404,71.5,28.6,171.6,14.3,61.08,62.61,主干路,2018
Y929110114,2,9375,148,80,140,32,83.36,77.53,次干路,2018
Y913110114,2,35600,96.5,38.6,231.6,19.3,66.76,65.09,次干路,2018
Y917110114,2,6673,50.25,20.1,120.6,10.05,68.92,69.21,次干路,2018
Y940110114,2,5565,17.75,7.1,42.6,3.55,63.67,64.97,次干路,2018
C404110114,2,6921,25.25,10.1,60.6,5.05,62.71,67.64,快速路,2018
C408110114,2,5310,21,8.4,50.4,4.2,66.4,66.82,主干路,2018
Y369110114,2,23425,66.5,26.6,159.6,13.3,67.41,67.15,主干路,2018
Y371110114,2,18819,83.99,45.4,79.45,18.16,68.57,79.36,主干路,2018
CE22110114,2,2940,16,6.4,38.4,3.2,66.9,65.9,主干路,2018
C030110114,2,3000,22.75,9.1,54.6,4.55,63.53,60.5,主干路,2018
CC10110114,2,5010,33.25,13.3,79.8,6.65,70.15,68.2,主干路,2018
Y505110114,4,5420.8,32.25,12.9,77.4,6.45,67.16,66.28,主干路,2020
Y517110114,4,3830.2,28,11.2,67.2,5.6,68.89,65,主干路,2020
Y676110114,4,10285,94,70.5,47,23.5,83.71,86.04,主干路,2020
CG20110113,4,3283,14.06,7.6,13.3,3.04,69.66,70.3,主干路,2020
CC53110114,4,15507,39.6,16.5,264,9.9,66.73,54.95,主干路,2020
Y706110114,4,19162.1,101.75,55,96.25,22,68.79,74.13,主干路,2020
Y301110114,4,12109.9,34.32,14.3,228.8,8.58,67.85,58.91,主干路,2020
Y250110114,4,11475,37.75,15.1,90.6,7.55,69.96,64.77,主干路,2020
C253110114,4,7341,79.6,59.7,39.8,19.9,71.78,84.72,主干路,2020
Y302110114,5,7850,23.05,9.61,153.68,5.76,56.41,55.29,主干路,2021
Y311110114,5,13932,126.36,68.3,119.53,27.32,76.92,71.15,主干路,2021
Y259110114,5,9224.4,79.56,43.01,75.26,17.2,68.77,76.39,主干路,2021
Y260110114,5,11248.1,65.7,26.28,157.69,13.14,63.16,62.1,主干路,2021
C253110114,5,7340.97,146.8,110.1,73.4,36.7,84.72,83.28,主干路,2021
Y387110114,5,6105,19.35,8.06,129.01,4.84,58.13,55.93,主干路,2021
Y373110114,5,8193,53.43,21.38,128.26,10.69,85.31,68.14,主干路,2021
CB07110114,5,4136,41.33,22.34,39.09,8.94,77.24,76.85,主干路,2021
Y650110114,5,2488,13.07,5.23,31.35,2.61,84.49,64.28,主干路,2021
Y655110114,5,12800,32.92,13.72,219.47,8.23,73.05,56.39,主干路,2021
C244110114,5,6775,93.85,50.72,88.77,20.29,79.18,77.23,主干路,2021
CC56110114,5,3572,34.14,13.67,81.91,6.83,59.65,69.89,主干路,2021
C308110114,5,8925.27,66,26.4,158.4,13.2,78.8,63.42,主干路,2021
Y025110114 ,5,8588.3,67.65,36.57,63.99,14.64,84.57,77.78,主干路,2021
Y303110114,6,6888,45.34,24.52,42.89,9.81,65.97,73.98,主干路,2022
Y304110114,6,12869,31.6,12.64,75.82,6.32,51.99,62.86,主干路,2022
Y304110114,6,12869,46.66,34.99,23.33,11.67,77.17,80.4,主干路,2022
CH29110114,6,6047,7.74,3.23,51.61,1.93,73.61,58.2,主干路,2022
CH29110114,6,6047,13.42,7.26,12.69,2.91,84.36,78.94,主干路,2022
Y384110114,6,11985,64.92,57.71,0,21.64,66.02,90.24,主干路,2022
CE04110114,6,7571,29.46,11.79,70.71,5.89,69.2,69.01,主干路,2022
Y857110114,6,11790,47.87,19.95,319.16,11.97,43.03,41.12,主干路,2022
C326110114,6,6175,21.53,8.97,143.56,5.39,38.06,36.37,主干路,2022
Y856110114,6,3000,19.95,7.98,47.88,3.99,60.59,67.87,主干路,2022
Y751110114,6,2000,29.1,15.74,27.53,6.29,87.17,77.97,主干路,2022
Y465110114,6,18014,174.9,69.96,419.75,34.98,55.22,68.16,主干路,2022
Y112110114,6,11178,59.03,24.6,393.55,14.76,58.91,56.75,主干路,2022
CC57110114,6,5998,23.68,12.8,22.4,5.13,80.75,75.26,主干路,2022
CD02110114,6,23480,69.67,27.88,167.21,13.93,71.94,68.01,主干路,2022
CD02110114,6,23480,68.75,37.16,65.03,14.86,78.2,74.49,主干路,2022
Y279110114,6,16500,89.69,35.87,215.24,17.94,67.93,67.25,主干路,2022
Y264110114,6,5544,29.71,11.89,71.31,5.94,65.84,61.1,主干路,2022
CD25110114,6,4033,31.63,17.1,29.92,6.84,81.97,79.87,主干路,2022
Y924110114,6,10297,68.79,51.59,34.39,17.2,85.25,83.18,主干路,2022
Y942110114,6,23946,209.63,113.32,198.3,45.33,55.95,79.09,主干路,2022
Y934110114,6,5296,29.12,11.65,69.9,5.82,47.72,64.59,主干路,2022
Y908110114,6,4284,31.19,16.86,29.5,6.74,84.16,74.39,主干路,2022
Y918110114,6,10530,43.51,17.4,104.42,8.71,67.49,65.45,主干路,2022
Y905110114,6,7559,48.84,26.4,46.2,10.56,76.41,73.54,主干路,2022
Y651110114,6,5040,46.31,25.03,43.81,10.01,57.84,71,主干路,2022
Y678110114,6,5273,51.64,27.91,48.85,11.17,83.6,75.94,次干路,2022
Y671110114,6,7878,68.77,37.18,65.05,14.87,65.93,77.68,次干路,2022
Y656110114,6,19800,74.28,55.72,37.14,18.57,86.42,83.97,次干路,2022
CK26110114,6,14999,88.66,47.93,83.87,19.17,79.61,77.01,次干路,2022
