道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份
C422110114,1,3020,9.5,3.8,22.8,1.9,66.52,68.19,次干路,2017
CC61110114,1,5250,16,6.4,38.4,3.2,67.97,68.54,次干路,2017
CC47110114,1,12350,57.35,31,54.25,12.4,73.82,73.18,次干路,2017
CI17110114,1,5388,16.25,6.5,39,3.25,69.12,61.44,次干路,2017
CK11110114,1,8960,26.75,10.7,64.2,5.35,67.84,62.56,次干路,2017
CC13110114,1,5100,22.57,12.2,21.35,4.88,66.43,78.19,主干路,2017
CC07110114,1,7200,34.4,25.8,17.2,8.6,69.59,89.72,次干路,2017
CC39110114,1,4795,27,24,0,9,75.32,96.02,次干路,2017
C042110114,1,7476,22.75,9.1,54.6,4.55,73.15,63.82,主干路,2017
CE01110114,1,4333,19.24,10.4,18.2,4.16,63.4,71.08,主干路,2017
CE28110114,1,2400,7.5,3,18,1.5,69.04,63.85,次干路,2017
CD06110114,1,3923,12.5,5,30,2.5,67.02,68.22,次干路,2017
CB23110114,1,2500,7.5,3,18,1.5,67.83,68.57,主干路,2017
CH07110114,1,12396,37.5,15,90,7.5,78.55,68.25,次干路,2017
Y931110114,1,3550,17.2,12.9,8.6,4.3,68.39,83.03,主干路,2017
Y943110114,1,5100,28.35,25.2,0,9.45,84.94,92.99,支路,2017
Y102110114,1,10538,31.5,12.6,75.6,6.3,67.44,67.74,快速路,2017
Y104110114,1,14600,43.75,17.5,105,8.75,74.77,64.66,主干路,2017
Y707110114,1,9400,46,34.5,23,11.5,63.34,83.48,主干路,2017
Y703110114,1,11120,54,40.5,27,13.5,69.63,83.54,主干路,2017
Y166110114,1,21122,94.35,51,89.25,20.4,74.76,79.58,次干路,2017
Y151110114,1,15400,68.45,37,64.75,14.8,72.59,75.11,主干路,2017
Y159110114,1,7800,34.78,18.8,32.9,7.52,75.23,70.17,主干路,2017
Y058110114,1,11805,57.2,42.9,28.6,14.3,65.4,83,主干路,2017
Y001110114,1,9095,27.25,10.9,65.4,5.45,83.78,69,主干路,2017
Y007110114,1,3251,14.8,8,14,3.2,72.15,71.29,主干路,2017
Y020110114,1,16500,85.1,46,80.5,18.4,66.6,78.52,主干路,2017
Y371110114,1,9720,29,11.6,69.6,5.8,64.25,68.57,主干路,2017
