道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
1,2018,1,0,1.29132,0,0,95.24,34747.5,1,0,0,0,89.9718957,98.74,8.768104303
2,2018,1,0,0.0253,0,0,86.95,30635.4,1,0,0,0,87.77508934,90.23,2.454910661
3,2018,1,0,0.3693,0,0,84.49,51657.9,1,0,0,0,87.21364791,95.45,8.236352086
4,2018,1,0,0.1688,0,0.38,88.81,34658.8,1,0,0,0,88.30635754,92.76,4.453642461
5,2018,1,6.2331,1.15839,81.6777,67.8,86.5,15826,1,0,0,0,87.1337018,90.47,3.336298196
6,2018,1,4.0836,2.22183,0,0,82.71,15825,1,0,0,0,86.18166539,97.31,11.12833461
7,2018,1,0,0,0,0,92.04,90329,1,0,0,0,89.61715132,89.32,-0.297151315
8,2018,1,0,0,0,0,92.04,90010.1,1,0,0,0,89.61494455,96.47,6.85505545
9,2018,1,0,1.42847,0,0,83.75,275236.5,1,0,0,0,88.49536314,94.91,6.41463686
10,2018,1,0,0.489731,0,0,77.04,283615.3,1,0,0,0,86.89032817,91.74,4.84967183
11,2018,1,0,0.154452,0,0,90,20770,1,0,0,0,88.5381724,89.23,0.691827601
12,2018,1,0,0.4738,0,0,96.82,9399.2,1,0,0,0,90.3267794,86.51,-3.816779401
13,2018,1,0,0.060346,35.9072,0,98.7,22678.5,1,0,0,0,90.98828159,87.64,-3.348281591
14,2018,1,0,0.032494,46.5034,0,91.14,24552,1,0,0,0,88.89610378,84.99,-3.906103778
15,2018,1,0,2.1881,0,0,100,11378.6,1,0,0,0,91.03384246,93.55,2.516157535
16,2018,1,0,0.0211,0,0,88.72,48624,0,1,0,0,88.15584469,94.46,6.304155307
17,2018,1,0,0.4199,0,0,88.55,27723.5,0,1,0,0,87.87701603,92.09,4.212983973
18,2018,1,0,0,0,0,76.08,95399,1,0,0,0,85.27870525,84.95,-0.328705246
19,2018,1,0,0.0253,0,0,73.08,32544,0,1,0,0,83.17332665,88.45,5.276673353
20,2018,1,0,0.4431,0,0,87.24,44698.8,0,1,0,0,87.61084081,93.91,6.299159191
21,2018,1,0,2.8168,0,0.8768,88.26,43811.1,0,1,0,0,87.61417957,94.65,7.035820432
22,2018,2,3.9456,0.1177,0,0,97.92,26564.5,1,0,0,0,90.52126584,97.85,7.328734158
23,2018,2,0,0.7258,0,0,86,20427,1,0,0,0,87.1585161,92.97,5.811483903
24,2018,2,0,0.2216,0,3.48,89.15,34800,1,0,0,0,88.19168037,86.93,-1.261680374
25,2018,2,0,0.1287,0,0,93.58,144392,1,0,0,0,90.19986924,96.54,6.340130757
26,2018,2,54.55965,3.2965,0,0.4,84.2,143726.61,1,0,0,0,86.48707724,95.3,8.812922757
27,2018,2,0,1.7237,0,0,79.23,148102,1,0,0,0,86.17113909,89.99,3.818860908
28,2018,2,0,0,0,0,99.57,24186,1,0,0,0,91.0563455,96.44,5.383654499
29,2018,2,0,0,0,0,99.57,24186,1,0,0,0,91.0563455,96.44,5.383654499
30,2018,2,0,0.8925,0,0,99.57,5130,1,0,0,0,90.82465504,93.65,2.825344964
31,2018,2,0,0.8925,0,0,99.57,5130,1,0,0,0,90.82465504,93.65,2.825344964
32,2018,2,0,2.7367,0,0,100,14829,1,0,0,0,90.80294066,82.34,-8.462940663
33,2018,2,0,0.0971,0,8.22,91.61,8700,0,1,0,0,88.48331176,91.85,3.366688237
34,2018,2,0,0.0359,0,0,91.92,17748,0,1,0,0,88.688016,86.23,-2.458016
35,2018,2,0,0.0422,0,0,92.88,15060,0,1,0,0,88.96418759,92.01,3.045812409
36,2018,2,0,0.7765,0,0,98.99,7142.5,0,1,0,0,90.70568376,88.8,-1.905683759
37,2018,2,0,0.0211,0,0,92.4,20227.1,0,1,0,0,88.85993969,89.34,0.480060306
38,2018,2,0,0.6647,0,0,98.13,7410.8,0,1,0,0,90.45525942,84.21,-6.245259423
39,2018,2,0,0.3207,0,1.1,93.77,14941,0,1,0,0,89.20065482,88.29,-0.91065482
40,2018,3,0,1.0719,0,29.68,94.74,16595,1,0,0,0,89.26148641,82.99,-6.271486411
41,2018,3,10.942058,1.3082,0,0,99.15,104131.6,1,0,0,0,90.9217751,95.98,5.058224895
42,2018,3,0,0.5845,0,7.99,96.65,24174,1,0,0,0,89.96317313,92.22,2.256826873
43,2018,3,0,0.3798,0,0,92.03,47384.6,1,0,0,0,88.88583871,86.69,-2.195838711
44,2018,3,0,1.42883,0,0,71.5,63277.793,1,0,0,0,83.22965514,90.49,7.260344857
45,2018,3,0,1.891193,0,0,75.64,38682.1,1,0,0,0,84.112528,90.02,5.907472003
46,2018,3,0,1.048037,0,0,85.76,96949.1,1,0,0,0,87.44476616,89.53,2.085233837
47,2018,3,1.723,1.629342,24.979133,0,87.18,48009.9,1,0,0,0,87.37750087,86.5,-0.877500868
48,2018,3,0,0.366296,0,0,85.66,84878.9,1,0,0,0,87.39964813,83.42,-3.979648135
49,2018,3,0,0.409551,0,0,87.16,42032.7,1,0,0,0,87.4873938,93.57,6.082606195
50,2018,3,0.94809,0.1266,0,0,94.35,14770,1,0,0,0,89.30804991,97.5,8.191950092
51,2018,3,0,1.5297,0,10.7704,98.8,78489,1,0,0,0,90.81860198,94.37,3.55139802
52,2018,3,0,0.1033,0,0,99.42,28240,0,1,0,0,90.89569198,95.18,4.284308016
53,2018,3,0,0,0,9.5215,98.44,84052,0,1,0,0,91.00524657,93.49,2.484753433
54,2018,3,0,0.0696,0,0,91.96,8130.3,0,1,0,0,88.41542201,91.84,3.424577994
55,2018,3,0,0,0,0,99.43,37142,1,0,0,0,90.91645847,99.1,8.183541533
56,2018,4,0.94672,0.2236,0,10.885,95.17,20811.5,1,0,0,0,89.35248874,86.99,-2.362488739
57,2018,4,0,0.3165,25.335675,0,84.94,136009,1,0,0,0,87.40030743,87.42,0.019692572
58,2018,4,0,2.5826,0,0,88.77,21272.9,1,0,0,0,87.35352251,90.65,3.296477492
59,2018,4,0,0.662118,9.576125,47.9206,84.09,79139,1,0,0,0,86.58324942,87.51,0.926750576
60,2018,4,0,2.134476,0,0,85.86,77435.4,1,0,0,0,87.02338095,88.23,1.206619052
61,2018,4,0,1.278449,0,0,83.69,67368.8,1,0,0,0,86.4374387,88.99,2.552561295
62,2018,4,1.645195,1.169151,3.824525,0,84.01,69286.1,1,0,0,0,86.5262691,87.35,0.823730901
63,2018,4,1.41112,2.976577,0,0,85.8,67794.6,1,0,0,0,86.82242846,86.37,-0.452428461
64,2018,4,0,0.524124,0,4.9242,83.76,58981.3,1,0,0,0,86.45889682,86.35,-0.108896824
65,2018,4,0.1518,3.243,0,0,83.84,74880,1,0,0,0,86.32983961,85.26,-1.06983961
66,2018,4,0,0.0359,0,0,85.71,21943,1,0,0,0,86.77790007,85.86,-0.917900065
67,2018,4,17.95311,0.0528,0,0,90.04,69732,1,0,0,0,88.03530355,88.61,0.574696447
68,2018,4,0,0.0528,5.9987,43.013,90.57,35247,1,0,0,0,88.12276809,85.29,-2.832768091
69,2018,4,30.5648,1.1584,0,13.36,78.78,16725.3,0,1,0,0,83.53755987,88.91,5.372440128
70,2018,5,0,4.1208,50.6146,0,96.72,159643,1,0,0,0,90.17993372,87.12,-3.059933717
71,2018,5,13.56692,0.944647,22.0074,5.3852,86.37,98343,1,0,0,0,87.03195922,84.97,-2.06195922
72,2018,5,3.98839,1.418342,4.75459,0,86.43,86099.2,1,0,0,0,87.07354941,81.49,-5.583549409
73,2018,5,0,0.3924,0,0,82.61,5700,1,0,0,0,85.55322487,79.11,-6.443224874
74,2018,5,15.90118,2.9118,0,0,84.01,38643.82,1,0,0,0,85.70803681,85.12,-0.588036807
75,2018,5,0,0.0211,0,0,96.93,22773,1,0,0,0,89.74625331,91.77,2.023746688
76,2018,5,0,1.4284,0,0,84.02,62746,1,0,0,0,86.2913792,84.78,-1.511379197
77,2018,6,15.8019,1.0782,11.4374,0,90.55,69851.5,1,0,0,0,87.74657305,88.16,0.413426946
78,2018,6,0,1.8979,0,0,87.9,64561.7,1,0,0,0,87.14904716,85.62,-1.529047158
79,2018,6,0,0.9537,7.17,0,81.33,60235.9,1,0,0,0,85.39416859,83.29,-2.104168587
80,2018,6,0,0.7786,7.17,0,81.33,87091.1,1,0,0,0,85.62655815,68.33,-17.29655815
81,2018,6,8.691285,6.1801,119.594,55.6969,86.08,97916.4,1,0,0,0,86.19138561,88.94,2.748614395
82,2018,6,1.49599,2.224995,0,0,85.05,88075,1,0,0,0,86.4848033,87.06,0.575196695
83,2018,6,0,0.489309,0,0,84.66,77109.6,1,0,0,0,86.49805882,84.22,-2.278058825
84,2018,6,0,3.8127,0,0,90.41,57614,1,0,0,0,87.58824323,86.75,-0.838243233
85,2018,6,0,0.9073,0,0,93.19,10986,0,0,0,1,85.9719978,95.5,9.528002205
86,2018,6,0,0.441,141.226,0,80.71,27816,1,0,0,0,85.00790254,94.28,9.272097461
87,2018,7,6.469756,2.419115,1.662,72.917,86.53,34381.3,1,0,0,0,86.01873047,83.53,-2.488730469
88,2018,7,2.154175,1.692431,1.662,0,86.71,30100.8,1,0,0,0,86.36009991,81.29,-5.070099912
89,2018,7,62.4839,0,8.302,28.15,84.24,39356.5,1,0,0,0,85.01083826,84.07,-0.940838258
90,2018,7,0,3.3106,5.74,0,83.18,50252.1,1,0,0,0,85.40276427,86.46,1.057235726
91,2018,7,25.3148,0.5486,3.164,0,81.31,18256.4,0,1,0,0,83.95200883,83.96,0.007991173
92,2018,8,28.86909,7.096352,0,71.3286,88.31,468646.3,1,0,0,0,88.55201257,84.18,-4.372012575
93,2018,8,28.86909,7.096352,0,71.3286,88.31,468646.3,1,0,0,0,88.55201257,84.18,-4.372012575
94,2018,8,28.86909,7.096352,0,71.3286,88.31,468646.3,1,0,0,0,88.55201257,84.18,-4.372012575
95,2018,8,172.5141,9.1958,41.0017,0,88.7,870062,1,0,0,0,88.58057613,89.45,0.86942387
96,2018,8,27.1219,0.5254,60.6212,1.644,81.1,21742,1,0,0,0,84.33577454,85.04,0.704225463
97,2018,8,2.5833,0.7849,116.2209,0,84.11,30984,1,0,0,0,85.5527472,77.34,-8.212747197
98,2018,8,50.0558,0.8102,123.0597,0,81.23,16694.5,1,0,0,0,84.01618664,78.24,-5.77618664
99,2018,8,51.9131,1.989,0,0,88.27,118126.4,1,0,0,0,86.51217018,85.19,-1.322170181
100,2018,8,0,0.3904,0,0,83.05,12975,1,0,0,0,85.19287775,75.35,-9.842877746
101,2018,8,5.453032,0.492052,0,0,85.45,14310.1,1,0,0,0,85.78489295,88.61,2.825107052
102,2018,8,6.0212,1.910816,13.3848,0,83.94,41195.6,1,0,0,0,85.42379945,84.95,-0.47379945
103,2018,8,13.8653,1.048037,0,0,82.44,12528.4,1,0,0,0,84.75636114,82.8,-1.956361136
104,2018,8,8.0864,1.192572,13.3848,0,86.2,36066.7,1,0,0,0,86.05345655,82.86,-3.193456547
105,2018,8,0,5.2929,0,0,86.16,207217,1,0,0,0,87.04702842,86.68,-0.367028418
106,2018,8,0,0.6752,0,0,84.88,45360.6,1,0,0,0,85.93674179,82.28,-3.656741794
107,2018,8,0,0.1382,0,0,84.12,28312.8,1,0,0,0,85.64462527,83.48,-2.164625266
108,2018,8,0,0.9706,0,3.1,87.64,208107,1,0,0,0,87.88348954,88.18,0.296510463
109,2018,8,9.536984,1.6458,0,0,73.28,71308.9,1,0,0,0,82.73734991,78.55,-4.187349912
110,2018,9,0,0.9803,0,0,83.28,33086,1,0,0,0,85.18683215,81.78,-3.406832154
111,2018,9,0,0.2342,80.8381,0,93.4,87205.5,1,0,0,0,88.50453353,88.7,0.195466468
112,2018,9,0,1.3715,0,0,85.39,10658,1,0,0,0,85.55298355,99.53,13.97701645
113,2018,9,0,1.6416,0,0,92.88,108806,1,0,0,0,88.36792306,88.77,0.402076941
114,2018,9,15.456,0.9558,125.569,2.2057,87.77,50653.8,1,0,0,0,86.33767898,85.67,-0.667678976
115,2018,9,35.2016,2.98143,91.9711,28.4,83.08,164380,1,0,0,0,85.41165851,80.56,-4.851658509
116,2018,9,2.623946,1.728,0,2.1372,88.7,40080,1,0,0,0,86.63130566,85.64,-0.991305659
117,2018,9,30.948,2.0283,0,0,87.13,84760,0,1,0,0,85.69054191,81.23,-4.460541909
118,2018,9,0,1.8568,0,0,87.6,13692.5,0,1,0,0,85.73921514,84.81,-0.929215143
119,2018,10,0,0.6014,71.522,0,88.8,20249.2982,1,0,0,0,86.5002432,75.8,-10.7002432
