Remaining miles,voltage,SOC,one_cell_voltage_max,one_cell_voltage_min
12.7,323.5,26,3.606,3.582
11.9,323.7,26,3.608,3.585
11.9,323.7,25,3.607,3.585
11.9,323.5,25,3.608,3.584
11.8,323.2,25,3.6,3.577
9.1,323.7,24,3.603,3.583
8.8,322.2,24,3.591,3.568
5.6,322,23,3.589,3.567
5.4,323.7,23,3.604,3.582
4.8,322.5,23,3.592,3.569
3.8,321.5,22,3.581,3.559
3.8,322.7,22,3.593,3.571
3.7,322.5,22,3.592,3.569
3.7,322.5,22,3.594,3.571
1.8,322.2,21,3.588,3.566
1.8,322.2,21,3.588,3.566
1.6,321.7,20,3.587,3.566
1.6,321.7,20,3.586,3.565
