道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
2009.0,2022.0,1.0,0.0,0.1452,0.0,0.0,87.65,20521.9,1.0,0.0,0.0,0.0,87.88109369158745
2010.0,2022.0,1.0,0.0,0.57,0.0,0.0,88.38000000000001,45337.21212,1.0,0.0,0.0,0.0,88.22292837142945
2011.0,2022.0,1.0,0.0,0.08,0.0,0.0,82.77,45337.21212,1.0,0.0,0.0,0.0,86.71961359381677
2012.0,2022.0,1.0,0.0,0.0,0.0,0.0,88.18,112080.00000000001,0.0,1.0,0.0,0.0,88.51092742919923
2013.0,2022.0,1.0,0.0,2.432619,0.0,0.0,94.26999999999998,118955.00000000001,1.0,0.0,0.0,0.0,90.15584589004517
2014.0,2022.0,1.0,0.0,2.81685,0.0,0.0,96.12,118955.00000000001,1.0,0.0,0.0,0.0,90.61624631881715
2015.0,2022.0,1.0,0.0,1.189196,0.0,0.0,82.22999999999999,90620.0,1.0,0.0,0.0,0.0,86.80021899700166
2016.0,2022.0,1.0,0.0,0.094572,0.0,0.0,92.5,66248.0,1.0,0.0,0.0,0.0,89.56595037698747
2017.0,2022.0,1.0,0.0,2.0570076,0.0,0.0,96.84,59296.0,1.0,0.0,0.0,0.0,90.49835976600647
2018.0,2022.0,1.0,0.0,0.222888,0.0,0.0,92.98,31549.0,1.0,0.0,0.0,0.0,89.4397940516472
2019.0,2022.0,1.0,0.0,0.0,0.0,0.0,90.42,21006.0,0.0,1.0,0.0,0.0,88.4566141307354
2020.0,2022.0,1.0,0.0,0.2099,0.0,0.0,94.55,121256.7779,1.0,0.0,0.0,0.0,90.48922918081284
2021.0,2022.0,1.0,0.0,0.16036,0.0,0.0,90.56,37084.0,0.0,1.0,0.0,0.0,88.61220477581026
2022.0,2022.0,1.0,0.0,0.0,0.0,0.0,90.56,82351.8,1.0,0.0,0.0,0.0,89.15458890318871
2023.0,2022.0,1.0,0.0,0.0,0.0,0.0,87.18,21742.0,1.0,0.0,0.0,0.0,87.77494255304337
2024.0,2022.0,1.0,0.0,0.0,0.0,0.0,99.69,16694.5,1.0,0.0,0.0,0.0,91.23171244621278
2025.0,2022.0,1.0,0.0,0.0,0.0,0.0,97.17,30983.999999999996,1.0,0.0,0.0,0.0,90.62698159813883
2026.0,2022.0,2.0,0.0,1.386903,0.0,0.0,89.64,86502.12939,1.0,0.0,0.0,0.0,88.58781840085985
2027.0,2022.0,2.0,0.0,2.919185,0.0,17.421879,87.36,89135.44523,1.0,0.0,0.0,0.0,87.77395983338357
2028.0,2022.0,2.0,0.0,0.0444,0.0,0.0,87.16,22945.0,0.0,1.0,0.0,0.0,87.2474086880684
2029.0,2022.0,2.0,0.0,0.080808,0.0,0.0,93.14000000000001,37965.0,0.0,1.0,0.0,0.0,89.22689467906953
2030.0,2022.0,2.0,0.0,0.296455,0.0,0.0,90.29,31554.999999999996,1.0,0.0,0.0,0.0,88.48647636890412
2031.0,2022.0,2.0,0.8874,0.8201569999999999,0.0,0.372092,82.81,36612.25,1.0,0.0,0.0,0.0,86.37102675914765
2032.0,2022.0,2.0,0.0,0.0,0.0,0.0,83.89,27851.000000000004,1.0,0.0,0.0,0.0,86.7056067287922
2033.0,2022.0,2.0,0.0,0.1477,0.0,0.0,86.92,26938.8,1.0,0.0,0.0,0.0,87.52786443948747
2034.0,2022.0,2.0,8.63249093,0.0,0.0,0.0,86.92,31325.99666,1.0,0.0,0.0,0.0,87.43149571537973
2035.0,2022.0,2.0,0.0,0.0,0.0,0.0,84.51,56649.799999999996,1.0,0.0,0.0,0.0,87.09989375948906
2036.0,2022.0,2.0,16.44199206,1.068175,0.0,0.0,81.82,83490.0,1.0,0.0,0.0,0.0,86.19730431437493
2037.0,2022.0,2.0,0.0,0.2276,0.0,0.0,95.01,59846.4,1.0,0.0,0.0,0.0,90.00807470798493
2038.0,2022.0,2.0,0.0,0.059871799999999996,0.0,0.0,90.7,14208.999999999998,0.0,1.0,0.0,0.0,88.27499509811402
2039.0,2022.0,2.0,0.0,0.0,0.0,0.0,87.55,49568.0,0.0,1.0,0.0,0.0,87.60091409683228
2040.0,2022.0,2.0,0.0,0.01887,0.0,0.0,91.14,17564.0,1.0,0.0,0.0,0.0,88.65148868322373
2041.0,2022.0,3.0,0.0,0.164613,0.0,0.0,85.01,52980.0,1.0,0.0,0.0,0.0,86.99965386629106
2042.0,2022.0,3.0,0.0,0.140748,0.0,0.0,89.17,60398.0,1.0,0.0,0.0,0.0,88.21260857105256
2043.0,2022.0,3.0,0.0,2.219778,0.0,0.0,91.88,49784.0,1.0,0.0,0.0,0.0,88.66025105953217
2044.0,2022.0,3.0,17.1599,2.973834,108.9,0.0,84.27,121102.9811,1.0,0.0,0.0,0.0,86.74483590245248
2045.0,2022.0,3.0,9.9533,1.269165,0.0,0.0,86.35,124789.62330000002,1.0,0.0,0.0,0.0,87.62251402616502
2046.0,2022.0,3.0,0.15,0.362304,0.0,12.69,92.09,45576.0,1.0,0.0,0.0,0.0,88.85457578659059
2047.0,2022.0,3.0,0.0,1.51287,0.0,0.0,88.76,61099.0,1.0,0.0,0.0,0.0,87.95554403543473
2048.0,2022.0,3.0,0.0,1.872459,0.0,0.0,87.11,164380.0,1.0,0.0,0.0,0.0,88.2148103606701
2049.0,2022.0,3.0,0.36672262,13.843564,0.0,0.0,94.69999999999999,142458.1,1.0,0.0,0.0,0.0,88.8811763906479
2050.0,2022.0,3.0,0.0,0.1647795,0.0,0.0,90.81,16856.2,1.0,0.0,0.0,0.0,88.34432286024095
2051.0,2022.0,3.0,0.14,0.1647795,0.0,0.0,92.3,22995.0,1.0,0.0,0.0,0.0,88.80456157565118
2052.0,2022.0,3.0,0.0,0.3044952,0.0,0.0,85.1,10632.0,1.0,0.0,0.0,0.0,86.68093922138215
2053.0,2022.0,3.0,0.0,0.1489842,0.0,0.0,91.16,32927.1,1.0,0.0,0.0,0.0,88.56316333293915
2054.0,2022.0,3.0,0.0,0.4392714,0.0,0.0,85.14,43232.0,1.0,0.0,0.0,0.0,86.9313312149048
2055.0,2022.0,3.0,0.0,0.1132,0.0,0.0,70.71,9662.0,1.0,0.0,0.0,0.0,82.68557924509048
2056.0,2022.0,3.0,0.0,0.024,0.0,0.0,86.12999999999998,10913.0,0.0,1.0,0.0,0.0,86.62197604179383
2057.0,2022.0,4.0,13.48,0.00666,0.0,0.0,85.05,7163.0,0.0,1.0,0.0,0.0,85.81827058553696
2058.0,2022.0,4.0,3.9499999999999997,0.141636,0.0,0.0,91.68,7563.7,0.0,1.0,0.0,0.0,88.0396623504162
2059.0,2022.0,4.0,0.16,0.0,0.0,0.0,81.87,5423.9,0.0,1.0,0.0,0.0,85.04142696261407
2060.0,2022.0,4.0,3.7799999999999994,4.757206,0.0,0.0,83.87,325713.0,1.0,0.0,0.0,0.0,87.93764112234116
2061.0,2022.0,4.0,0.1482391,3.07244,0.0,3.70664,93.08,36650.0,0.0,1.0,0.0,0.0,88.4032089149952
2062.0,2022.0,4.0,14.4883163,0.9530000000000001,0.0,0.0,94.15,68054.0,1.0,0.0,0.0,0.0,89.1090877389908
2063.0,2022.0,4.0,0.0,0.2586,0.0,0.0,88.91,36398.0,1.0,0.0,0.0,0.0,87.7595673441887
2064.0,2022.0,4.0,0.2754,0.13926,0.0,0.0,88.61,12025.12679,1.0,0.0,0.0,0.0,87.49822113633157
