道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
1,2021,2,0,1.386903,0,0,84.87,86502.12939,1,0,0,0,87.27730078,87.65,0.372699219
2,2021,2,0,2.919185,0,17.42,84.56,89135.44523,1,0,0,0,87.00816745,88.38,1.371832547
3,2021,2,0,0.0444,0,0,96.66,22945,0,1,0,0,90.20331249,82.77,-7.433312494
4,2021,2,0,0.080808,0,0,96.53,37965,0,1,0,0,90.2765786,88.18,-2.096578598
5,2021,2,0,0.296455,0,0,98.37,31555,1,0,0,0,90.7385066,94.27,3.531493404
6,2021,2,0.8874,0.820157,0,0.37,96.02,36612.25,1,0,0,0,90.04260424,96.12,6.077395757
7,2021,2,0,0,0,0,96.72,27851,1,0,0,0,90.28679888,82.23,-8.056798882
8,2021,2,0,0.1477,0,0,96.65,26938.8,1,0,0,0,90.24425583,92.5,2.255744171
9,2021,2,8.63249093,0,0,0,97.35,31325.99666,1,0,0,0,90.31749208,96.84,6.522507921
10,2021,2,0,0,0,0,96.84,56649.8,1,0,0,0,90.51824305,92.98,2.461756954
11,2021,2,16.44199206,1.068175,0,0,96.39,83490,1,0,0,0,90.14133647,90.42,0.27866353
12,2021,2,0,0.2276,0,0,96.96,59846.4,1,0,0,0,90.54764253,94.55,4.002357465
13,2021,2,0,0.0598718,0,0,94.03,14209,0,1,0,0,89.31326454,90.56,1.246735458
14,2021,2,0,0,0,0,97.19,49568,0,1,0,0,90.5814257,90.56,-0.0214257
15,2021,2,0,0.01887,0,0,98.4,17564,1,0,0,0,90.68248909,87.18,-3.502489088
16,2021,3,0,0.164613,0,0,95.02,52980,1,0,0,0,89.78085002,99.69,9.909149981
17,2021,3,0,0.140748,0,0,96.02,60398,1,0,0,0,90.11266096,97.17,7.057339041
18,2021,3,0,2.219778,0,0,95.02,49784,1,0,0,0,89.53078892,89.64,0.109211084
19,2021,3,17.1599,2.973834,0,0.13,85.34,121102.9811,1,0,0,0,87.03414608,87.36,0.325853918
20,2021,3,9.9533,1.269165,0,0,84.04,124789.6233,1,0,0,0,86.99895725,87.16,0.161042745
21,2021,3,0.15,0.362304,0,12.69,95.01,45576,1,0,0,0,89.66641667,93.14,3.473583331
22,2021,3,0,1.51287,0,0,90.89,61099,1,0,0,0,88.54514846,90.29,1.744851536
23,2021,3,0,1.872459,0,0,95.04,164380,1,0,0,0,90.35425823,82.81,-7.544258233
24,2021,3,0.36672262,13.843564,0,0,95.01,142458.1,1,0,0,0,88.96364772,83.89,-5.073647717
25,2021,3,0,0.1647795,0,0,96.21,16856.2,1,0,0,0,89.85768128,86.92,-2.937681282
26,2021,3,0.14,0.1647795,0,0,92.68,22995,1,0,0,0,88.91090677,86.92,-1.99090677
27,2021,3,0,0.3044952,0,0,94.02,10632,1,0,0,0,89.18317734,84.51,-4.673177338
28,2021,3,0,0.1489842,0,0,95.79,32927.1,1,0,0,0,89.85583526,81.82,-8.035835261
29,2021,3,0,0.4392714,0,0,96.96,43232,1,0,0,0,90.22130746,95.01,4.788692541
