道路名称,路龄,年份,前一年pci,当年pci,总钱数,车道面积,道路属性
1,2,2023,89.85,89.85,0,20521.9,主干路
2,2,2023,86.96,86.96,0,45337.21212,主干路
3,2,2023,87.18,87.18,0,45337.21212,主干路
4,2,2023,95.27,95.27,0,112080,次干路
5,2,2023,94.15,94.15,0,118955,主干路
6,2,2023,92.36,92.36,0,118955,主干路
7,2,2023,93.48,93.48,0,90620,主干路
8,2,2023,99.08,99.08,0,66248,主干路
9,2,2023,88.68,88.68,0,59296,主干路
10,2,2023,98,98,0,31549,主干路
11,2,2023,91.9,91.9,0,21006,次干路
12,2,2023,81.5,81.5,0,121256.7779,主干路
13,2,2023,91,91,0,37084,次干路
14,2,2023,96.58,96.58,0,82351.8,主干路
15,2,2023,85.28,85.28,0,21742,主干路
16,2,2023,95.78,95.78,0,16694.5,主干路
17,2,2023,93.88,93.88,0,30984,主干路
18,3,2023,87.65,87.65,0,86502.12939,主干路
19,3,2023,88.38,88.38,0,89135.44523,主干路
20,3,2023,82.77,82.77,0,22945,次干路
21,3,2023,88.18,88.18,0,37965,次干路
22,3,2023,94.27,94.27,0,31555,主干路
23,3,2023,96.12,96.12,0,36612.25,主干路
24,3,2023,82.23,82.23,0,27851,主干路
25,3,2023,92.5,92.5,0,26938.8,主干路
26,3,2023,96.84,96.84,0,31325.99666,主干路
27,3,2023,92.98,92.98,0,56649.8,主干路
28,3,2023,90.42,90.42,0,83490,主干路
29,3,2023,94.55,94.55,0,59846.4,主干路
30,3,2023,90.56,90.56,0,14209,次干路
31,3,2023,90.56,90.56,0,49568,次干路
32,3,2023,87.18,87.18,0,17564,主干路
33,4,2023,99.69,99.69,0,52980,主干路
34,4,2023,97.17,97.17,0,60398,主干路
35,4,2023,89.64,89.64,0,49784,主干路
36,4,2023,87.36,87.36,0,121102.9811,主干路
37,4,2023,87.16,87.16,0,124789.6233,主干路
38,4,2023,93.14,93.14,0,45576,主干路
39,4,2023,90.29,90.29,0,61099,主干路
40,4,2023,82.81,82.81,0,164380,主干路
41,4,2023,83.89,83.89,0,142458.1,主干路
42,4,2023,86.92,86.92,0,16856.2,主干路
43,4,2023,86.92,86.92,0,22995,主干路
44,4,2023,84.51,84.51,0,10632,主干路
45,4,2023,81.82,81.82,0,32927.1,主干路
46,4,2023,95.01,95.01,0,43232,主干路
47,4,2023,90.7,90.7,0,9662,主干路
48,4,2023,87.55,87.55,0,10913,次干路
49,5,2023,91.14,91.14,0,7163,次干路
50,5,2023,85.01,85.01,0,7563.7,次干路
51,5,2023,89.17,89.17,0,5423.9,次干路
52,5,2023,91.88,91.88,0,325713,主干路
53,5,2023,84.27,84.27,0,36650,次干路
54,5,2023,86.35,86.35,0,68054,主干路
55,5,2023,92.09,92.09,0,36398,主干路
56,5,2023,88.76,88.76,0,12025.12679,主干路
57,5,2023,87.11,87.11,0,12391.1982,主干路
58,5,2023,94.7,94.7,0,33941,主干路
59,5,2023,90.81,90.81,0,25444,主干路
60,5,2023,92.3,92.3,0,90833.5,主干路
61,5,2023,85.1,85.1,0,14172,次干路
62,6,2023,91.16,91.16,0,384394,主干路
63,6,2023,85.14,85.14,0,34747.5,主干路
64,6,2023,70.71,70.71,0,62000,主干路
65,6,2023,86.13,86.13,0,30635.4,主干路
66,6,2023,85.05,85.05,0,51657.9,主干路
67,6,2023,91.68,91.68,0,34658.8,主干路
68,6,2023,81.87,81.87,0,15826,主干路
69,6,2023,83.87,83.87,0,15825,主干路
70,6,2023,93.08,93.08,0,90329.03138,主干路
71,6,2023,94.15,94.15,0,90010.12334,主干路
72,6,2023,88.91,88.91,0,275236.4677,主干路
73,6,2023,88.61,88.61,0,283615.2736,主干路
74,6,2023,90.11,90.11,0,20770,主干路
75,6,2023,82.22,82.22,0,9399.2,主干路
76,6,2023,90.03,90.03,0,22678.5,主干路
77,6,2023,90.8,90.8,0,24552,主干路
78,6,2023,75.5,75.5,0,11378.6,主干路
79,6,2023,92.25,92.25,0,48624,次干路
80,6,2023,73.27,73.27,0,27723.5,次干路
81,6,2023,81.44,81.44,0,95399,主干路
82,6,2023,86.95,86.95,0,32544,次干路
83,6,2023,90.74,90.74,0,44698.8,次干路
84,6,2023,87.04,87.04,0,43811.1,次干路
85,6,2023,88.52,88.52,0,87108,主干路
86,7,2023,90.09,90.09,0,46097,快速路
87,7,2023,91.73,91.73,0,723374,主干路
88,7,2023,85.49,85.49,0,122512,主干路
89,7,2023,85.74,85.74,0,26564.5,主干路
90,7,2023,86.1,86.1,0,63621,主干路
91,7,2023,85.31,85.31,0,20427,主干路
92,7,2023,88.69,88.69,0,34800,主干路
93,7,2023,87.46,87.46,0,144392,主干路
94,7,2023,86.96,86.96,0,143726.615,主干路
95,7,2023,89.02,89.02,0,148101.9705,主干路
96,7,2023,80.76,80.76,0,24186,主干路
97,7,2023,80.76,80.76,0,5130,主干路
98,7,2023,81.09,81.09,0,14829,主干路
99,7,2023,98.45,98.45,0,8700,主干路
100,7,2023,83.54,83.54,0,17748,主干路
101,7,2023,78.57,78.57,0,15060,次干路
102,7,2023,95.39,95.39,0,7142.5,次干路
103,7,2023,75.83,75.83,0,20227.1,次干路
104,7,2023,86,86,0,7410.8,次干路
105,7,2023,80.16,80.16,0,14941,次干路
106,7,2023,88.04,88.04,0,53775.7,次干路
107,8,2023,79.46,79.46,0,120797.118,次干路
108,8,2023,79.46,79.46,0,188939.082,主干路
109,8,2023,86.87,86.87,0,104131.6,快速路
110,8,2023,84.16,84.16,0,24174,快速路
111,8,2023,93.08,93.08,0,47384.56862,主干路
112,8,2023,94.15,94.15,0,47217.27666,主干路
113,8,2023,83.9,83.9,0,63277.793,主干路
114,8,2023,85.35,85.35,0,38682.06016,主干路
115,8,2023,83.23,83.23,0,16595,主干路
116,8,2023,91,91,0,96949.1187,主干路
117,8,2023,88.23,88.23,0,48009.94696,主干路
118,8,2023,85.26,85.26,0,84878.88151,主干路
119,8,2023,86.08,86.08,0,42032.67295,主干路
120,8,2023,92.64,92.64,0,14770,主干路
121,8,2023,87.82,87.82,0,78489,主干路
122,8,2023,91.18,91.18,0,28240,主干路
123,8,2023,91,91,0,84052,主干路
124,8,2023,84.65,84.65,0,8130.3,次干路
125,8,2023,92.19,92.19,0,37142,次干路
126,8,2023,90.91,90.91,0,31172,次干路
127,9,2023,87.07,87.07,0,20811.5,主干路
128,9,2023,84.63,84.63,0,136009,主干路
129,9,2023,85.32,85.32,0,21272.9,主干路
130,9,2023,88.56,88.56,0,79138.97708,主干路
131,9,2023,92,92,0,77435.39832,主干路
132,9,2023,92.02,92.02,0,67368.79654,主干路
133,9,2023,88.75,88.75,0,69286.11574,主干路
134,9,2023,85.06,85.06,0,67794.63379,主干路
135,9,2023,86.06,86.06,0,58981.3314,主干路
136,9,2023,78.6,78.6,0,74880,主干路
137,9,2023,84.89,84.89,0,21943,主干路
138,9,2023,86.53,86.53,0,69732,主干路
139,9,2023,73.93,73.93,0,35247,主干路
140,9,2023,88.34,88.34,0,16725.3,主干路
141,10,2023,86.13,86.13,0,159643,主干路
142,10,2023,81.99,81.99,0,33698.25857,次干路
143,10,2023,88.63,88.63,0,98342.95587,主干路
144,10,2023,86.03,86.03,0,86099.18492,主干路
145,10,2023,81.9,81.9,0,5700,主干路
146,10,2023,84.49,84.49,0,38643.82,主干路
147,10,2023,75.09,75.09,0,79669,主干路
148,10,2023,88.01,88.01,0,22773,主干路
149,10,2023,82.85,82.85,0,62746,次干路
150,11,2023,87.37,87.37,0,69851.5,主干路
151,11,2023,84.18,84.18,0,64561.7,主干路
152,11,2023,83.24,83.24,0,65938,主干路
153,11,2023,86.96,86.96,0,14898.68788,主干路
154,11,2023,87.18,87.18,0,14898.68788,主干路
