道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
1,2020,4,0.6207,1.110071,11.2017,0,92.73,46097,0,0,1,0,90.74731375,89.86,0.887313755
2,2020,4,5.1638,5.8563,0,0,95.53,723374,1,0,0,0,92.78302624,97.31,4.526973763
3,2020,4,16.10095,103.7,0,0,93.3,122512,1,0,0,0,83.03458902,92.42,9.385410978
4,2020,4,0,0.0933,0,0,94.04,26564.5,1,0,0,0,89.13970381,95.78,6.64029619
5,2020,4,12.1878,4.7306,13.918,0,94.99,63621,1,0,0,0,88.94519995,94.21,5.264800045
6,2020,4,0,0.0464,0,2.76192,88.76,20427,1,0,0,0,87.61220418,87.07,-0.542204177
7,2020,4,0,2.6953,0,0,91.11,34800,1,0,0,0,88.09622471,88.58,0.483775291
8,2020,4,0,0.5634,0,0,93.61,144392,1,0,0,0,89.79584458,92.04,2.24415542
9,2020,4,50.7063,7.8722,0,0,91.28,143726.61,1,0,0,0,87.58469051,95.26,7.675309485
10,2020,4,0,6.3114,0,0,91.23,148102,1,0,0,0,88.57001998,94.97,6.399980021
11,2020,4,0,0,0,0,92.92,24186,1,0,0,0,88.81897646,87.74,-1.078976456
12,2020,4,0,0.46,0,0,87.58,5130,1,0,0,0,87.12512104,72.12,-15.00512104
13,2020,4,38.9468,2.3041,0,0,84.48,14829,1,0,0,0,85.56036514,80.46,-5.10036514
14,2020,4,6.888408,0.211,0,0,97.25,8700,0,1,0,0,89.71512722,96.06,6.344872779
15,2020,4,0,0.8883,0,0,89.08,17748,0,1,0,0,87.29353431,86.71,-0.583534315
16,2020,4,0.5856,0.7786,0,0,91.87,15060,0,1,0,0,88.14464169,87.05,-1.094641689
17,2020,4,0,0.268,0,0,86.73,7142.5,0,1,0,0,86.54630165,83.08,-3.466301652
18,2020,4,0,0.4262,0,0,86.31,20227.1,0,1,0,0,86.50973204,83.16,-3.349732041
19,2020,4,0,0.0295,0,0,91.97,7410.8,0,1,0,0,88.22049023,84.71,-3.510490232
20,2020,4,0,0.4916,0,0,93.61,14941,0,1,0,0,88.73582345,86.95,-1.785823445
21,2020,5,19.2252,0.592699,1.808,6.165,97.26,42032.7,1,0,0,0,89.53532187,86.58,-2.955321866
22,2020,5,0,0.489098,0,0,95.68,14770,1,0,0,0,89.28485275,94.03,4.745147252
23,2020,5,19.7351,2.08679,7.63,1.644,93.17,78489,1,0,0,0,88.52076955,92.45,3.929230447
24,2020,5,0,0.22999,0,0,99.15,28240,0,1,0,0,90.41257705,90.28,-0.132577047
25,2020,5,0.122,1.80616,0,14.9662,95.49,84052,0,1,0,0,89.47085794,94.97,5.499142056
26,2020,5,0,0.2996,0,1.5755,94.09,8130.3,0,1,0,0,88.65677795,86.85,-1.806777954
27,2020,5,0,0.0106,0,0,97.73,37142,1,0,0,0,90.07331734,93.43,3.356682658
28,2020,6,9.078834,1.21747,0,0,89.32,20811.5,1,0,0,0,87.1335376,87.16,0.026462398
29,2020,6,0,0.2332,0,142.337,83.47,136009,1,0,0,0,86.30137557,87.3,0.99862443
30,2020,6,12.504479,1.9961,1.5,0,88.07,21272.9,1,0,0,0,86.65350268,91.09,4.436497316
31,2020,6,1.4826,4.317693,1.71,0,88.43,79139,1,0,0,0,87.12773334,91.27,4.142266663
32,2020,6,2.4551,4.723235,5.457,0,88.01,77435.4,1,0,0,0,86.9419222,87.15,0.208077804
33,2020,6,0,0.849275,0,0,96.48,67368.8,1,0,0,0,89.66537673,92.13,2.464623272
34,2020,6,12.6523,3.865942,0,0,92.1,69286.1,1,0,0,0,87.92541062,86.23,-1.695410616
35,2020,6,56.648,9.261212,0,0,91.11,67794.6,1,0,0,0,86.45349311,86.61,0.15650689
36,2020,6,0,2.081515,2.353,0,92,58981.3,1,0,0,0,88.22505801,93.33,5.104941988
37,2020,6,35.74422,19.04275,4.468,0,87.84,74880,1,0,0,0,85.07522506,80.07,-5.005225055
38,2020,6,24.0578,2.5026,4.2,8.5155,89.64,21943,1,0,0,0,86.83564666,90.93,4.094353337
39,2020,6,0,1.2114,5.843,2.0457,87.75,69732,1,0,0,0,87.2147202,84.12,-3.094720198
40,2020,6,93.7532,4.1018,9.349,0,83.6,35247,1,0,0,0,84.28668582,84.94,0.653314176
41,2020,6,8.272824,1.2365,8.738,0,80.24,16725.3,0,1,0,0,83.96768756,82.04,-1.927687559
42,2020,7,28.94574,9.75453,33.357,0,87.13,159643,1,0,0,0,86.26935384,90.04,3.770646163
43,2020,7,15.1704,1.52975,0,0,84.9,33698.3,1,0,0,0,85.70964648,82.46,-3.249646477
44,2020,7,9.9113,7.482693,2.125,0,93.77,98343,1,0,0,0,88.09177137,90,1.908228629
45,2020,7,10.8687,4.598745,9.243,0,91.66,86099.2,1,0,0,0,87.70934415,87.8,0.09065585
46,2020,7,1.67256,1.04445,0,0,77,5700,1,0,0,0,83.52870296,81.45,-2.078702955
47,2020,7,43.258,1.33985,0,0,81.26,38643.82,1,0,0,0,84.40302739,84.92,0.516972607
48,2020,7,12.728,1.3715,0,33.5592,84.52,79669,0,1,0,0,85.48425786,90.94,5.455742143
49,2020,7,0,0.20678,0,0,89.46,22773,1,0,0,0,87.26738651,84.53,-2.737386508
50,2020,7,0,2.54255,0,0,84.89,62746,1,0,0,0,86.05552648,82.43,-3.625526478
51,2020,8,16.710144,2.8042,38.123,0,91.48,69851.5,1,0,0,0,87.46232077,89.48,2.01767923
52,2020,8,0,5.6717,0,0,94.23,64561.7,1,0,0,0,88.15196855,91.52,3.368031452
53,2020,8,17.63,3.28316,143.406,30.551,89.67,65938,1,0,0,0,86.79520091,87.18,0.384799093
54,2020,8,0,2.0414,0,57.4413,87.21,60235.9,1,0,0,0,86.41199497,80.09,-6.321994973
55,2020,8,0,2.2408,0,0,90.52,87091.1,1,0,0,0,87.65908861,83.2,-4.459088613
56,2020,8,61.904977,18.05316,0,0,81.84,97916.4,1,0,0,0,83.21338927,79.55,-3.663389267
57,2020,8,10.5307,3.057601,1.903,0,88.39,88075,1,0,0,0,86.82804862,90.19,3.361951377
58,2020,8,0.971,6.285901,0,2.8932,92.77,77109.6,1,0,0,0,87.75476073,89.99,2.235239275
59,2020,9,18.822178,10.03305,4.501,0,89.46,57614,1,0,0,0,85.901237,83.33,-2.571237004
60,2020,8,0.6279,0.173,0,0,92.51,10986,0,0,0,1,85.54417639,83.04,-2.504176389
61,2020,9,59.8641,9.3792,41.399,0,88.47,197472.5,1,0,0,0,86.19223647,86.28,0.087763534
62,2020,9,36.8031,1.5466,0,3.288,88.09,27816,1,0,0,0,85.87622368,82.17,-3.706223679
63,2020,9,4.386,2.56365,0,0,92.81,10440,1,0,0,0,87.43719798,82.42,-5.017197977
64,2020,9,13.1961,6.43972,10.201,0,91.95,34381.3,1,0,0,0,86.83625122,85.19,-1.646251222
65,2020,9,4.8248,2.99198,18.708,1.7125,88.59,30100.8,1,0,0,0,86.35484298,87.79,1.435157017
66,2020,9,38.729,1.3694,11.102,0,79.75,39356.5,1,0,0,0,83.73041176,84.78,1.049588237
67,2020,9,29.8541,5.1938,0,0,89.66,50252.1,1,0,0,0,86.21549085,85.62,-0.595490848
68,2020,9,63.284383,5.28977,0,123.088,85,43737.5,1,0,0,0,84.21577576,81.91,-2.305775759
69,2020,9,28.598,6.157,2.4,0,79.58,18256.4,1,0,0,0,83.17429942,81.88,-1.294299415
70,2020,9,27.428466,3.07216,0,42.6469,82.77,43130,0,1,0,0,83.82811649,81.23,-2.598116488
71,2020,10,91.6888,16.4181,0,0,86.82,870062,1,0,0,0,88.59545127,89.44,0.844548728
72,2020,10,61.0894,7.5034,0,0,86.1,118126.4,1,0,0,0,85.01649325,84.8,-0.21649325
73,2020,10,15.6663,0.9388,2.671,0,88.78,23584.8,1,0,0,0,86.2484132,83.18,-3.0684132
74,2020,10,0,2.3738,37.351,0,86.1,294330,1,0,0,0,87.62549204,86.25,-1.37549204
75,2020,10,0,2.6206,12.504,0,81.64,61289.3,1,0,0,0,84.62390048,81.94,-2.683900478
76,2020,10,0,0.2374,0.309,0,94.46,12975,1,0,0,0,88.08261342,82.18,-5.902613419
77,2020,10,4.4658,0.8439578,4.902,0,92.22,14310.1,1,0,0,0,87.32003789,86.31,-1.010037891
78,2020,10,12.442345,2.753761,0,0,98.01,41195.6,1,0,0,0,88.79498566,85.29,-3.504985657
79,2020,10,1.3127,2.252003,2.425,0,88.14,12528.4,1,0,0,0,86.05772329,86.01,-0.047723292
80,2020,10,14.7877,2.837739,0,0,81.08,36066.7,1,0,0,0,84.04895226,81.76,-2.288952255
81,2020,10,0,10.37276,103.211,0,87.97,9252.3,0,1,0,0,84.58900522,86.63,2.040994778
82,2020,10,105.5032,22.824714,0,0.8768,90.87,468646.3,1,0,0,0,86.8004031,89.34,2.539596899
83,2020,10,105.5032,22.824714,0,0.8768,90.87,468646.3,1,0,0,0,86.8004031,89.34,2.539596899
84,2020,10,105.5032,22.824714,0,0.8768,90.87,468646.3,1,0,0,0,86.8004031,89.34,2.539596899
85,2020,10,1.0525,5.7375,0,0.8768,90.87,207217,1,0,0,0,87.92242016,89.34,1.417579837
86,2020,10,0,2.0488,0,0,89.63,45360.6,1,0,0,0,86.77726316,87.9,1.122736837
87,2020,10,0,1.2419,0,0,88.86,28312.8,1,0,0,0,86.51420528,87.02,0.505794718
88,2020,10,14.70944,1.89056,0,0,92.37,208107,1,0,0,0,88.50188641,92.62,4.118113592
89,2020,10,11.9412,0.837248,61.9914,0,93.62,337189,0,0,1,0,91.6464898,93.83,2.183510196
90,2020,10,11.9412,0.837248,61.9914,0,93.62,337189,0,0,1,0,91.6464898,93.83,2.183510196
91,2020,10,11.9412,0.837248,61.9914,0,93.62,337189,0,0,1,0,91.6464898,93.83,2.183510196
92,2020,10,28.209885,7.07694,0,0,75.1,71308.9,1,0,0,0,82.1922291,70.3,-11.8922291
93,2020,11,0,3.0966,34.289,0,73.83,33086,1,0,0,0,82.01996954,80.12,-1.899969536
94,2020,11,5.6961,0.3503,0,0,93.35,87205.5,1,0,0,0,88.0599014,94.91,6.8500986
95,2020,11,0,1.16424,3.414,0,84.1,44920.5,1,0,0,0,85.16002754,87.94,2.779972458
96,2020,11,0,0,0,0,92.82,10658,1,0,0,0,87.4628706,81.5,-5.962870595
97,2020,11,0,0.5549,0,3.0414,92.35,108806,1,0,0,0,88.00786453,89.26,1.252135472
98,2020,11,2.9163,1.9039,0,0,87.48,50653.8,1,0,0,0,86.02770183,82.89,-3.137701828
99,2020,11,29.462569,3.57434,0,1.4766,88.52,40080,1,0,0,0,85.67505226,84.7,-0.975052257
100,2020,11,32.4641,2.0678,0,0,82.33,84760,0,1,0,0,83.90297734,84.04,0.137022665
101,2020,11,0,0,0,0,81.22,13692.5,0,1,0,0,83.63181139,82.85,-0.781811395
102,2020,12,0,0.4579,0,0,84.76,20249.2982,1,0,0,0,85.05573735,83.17,-1.885737351
103,2020,12,0,0,0,0,96.31,80694.4,1,0,0,0,88.81325927,95.26,6.446740733
104,2020,12,0,0,0,0,96.31,80694.4,1,0,0,0,88.81325927,95.26,6.446740733
105,2020,12,0,0,0,0,100,20268,1,0,0,0,89.40671745,100,10.59328255
106,2020,12,25.471,34.921766,0,1.096,91.1,229989.2,1,0,0,0,85.03321192,90.36,5.326788076
107,2020,12,20.923753,30.314792,0,0.4932,83.56,236990.6,1,0,0,0,83.6007898,88.09,4.489210204
108,2020,12,48.414,0.8925,3.812,0.5754,83.62,16353,1,0,0,0,84.03914247,87.37,3.330857526
109,2020,12,0.652,0.0422,0,0,88.31,8744.5,0,1,0,0,85.62459769,91.73,6.105402312
110,2020,12,0,1.80405,0,0,99.56,14269.9,0,1,0,0,88.98647916,88.95,-0.036479156
111,2020,12,32.991,31.145499,6.586,0,83.97,242814.25,1,0,0,0,83.58324265,86.08,2.496757348
112,2020,12,32.991,31.145499,6.586,0,83.97,242814.25,1,0,0,0,83.58324265,86.08,2.496757348
113,2020,12,0.57957,2.328174,6.748,0,84.42,57460.55,1,0,0,0,85.06157645,78.87,-6.191576447
114,2020,12,0.57957,2.328174,0,0,90.53,57460.55,1,0,0,0,86.76158443,88.64,1.878415569
115,2020,12,0,0.17724,0,0,100,12301.98,1,0,0,0,89.32788343,100,10.67211657
116,2020,12,13.2465,3.80222,5.826,0,89.63,83082.81,1,0,0,0,86.36812089,88.54,2.171879106
117,2020,12,13.2465,3.80222,5.826,0,89.63,83082.81,1,0,0,0,86.36812089,88.54,2.171879106
118,2020,12,19.2421,6.26248,23.72,0.2877,84.4,141018.2,1,0,0,0,85.08294251,85.14,0.057057486
119,2020,12,58.2476,15.912565,18.899,0,87.99,169285.72,1,0,0,0,84.9067048,89.07,4.163295195
120,2020,12,22.227994,3.19454,20.817,0,86.98,63039.4,1,0,0,0,85.42479212,89.83,4.405207878
121,2020,12,3.9894,2.397,0,0,90.11,64400,1,0,0,0,86.63948587,83.93,-2.709485867
122,2020,12,0,0.864045,6.23,0,94.39,115053.14,1,0,0,0,88.43601682,95.56,7.123983176
123,2020,12,6.3105,16.054568,0,0,89.45,271131.73,1,0,0,0,86.64846718,86.67,0.021532822
124,2020,12,0.3861,2.879517,0,0,91.64,29103,1,0,0,0,86.7934345,89.39,2.5965655
125,2020,12,18.2841,5.427764,0,0.411,87.62,82599,1,0,0,0,85.58289554,87.58,1.997104456
126,2020,12,1.7521,6.734276,58.812,0,84.55,82351.8,1,0,0,0,84.83587435,83.39,-1.445874352
127,2020,12,23.92694,8.18047,4.9,5.9135,84.6,144684.05,1,0,0,0,84.9127504,82.62,-2.292750397
128,2020,12,1.278682,2.4539,70.78,0,82.76,23324,1,0,0,0,84.29312202,85.45,1.156877984
129,2020,12,0,0,4.59,0,83.91,36406.4,1,0,0,0,84.99925461,90.53,5.530745394
130,2020,12,6.0716,1.86524,14.067,0,85.24,57151.5,1,0,0,0,85.25834429,85.6,0.34165571
131,2020,12,1.9625,1.013644,5.645,0,86,38815.18,1,0,0,0,85.46812384,82.59,-2.878123839
132,2020,12,23.529552,4.0795,12.899,0,78.02,66248,1,0,0,0,82.93555327,83.22,0.284446728
133,2020,12,21.5,2.6375,0,0,79.81,130225.25,1,0,0,0,84.09798375,80.08,-4.017983747
134,2020,13,22.1192,1.4897,3.736,0,84.96,30512,1,0,0,0,84.63551896,87.51,2.874481039
135,2020,13,11.532936,2.3189,0,0,88.35,16779,1,0,0,0,85.51571733,83.19,-2.325717325
136,2020,13,0,0.9157,0,0,96.04,34010,1,0,0,0,88.13271471,91.84,3.707285293
137,2020,13,19.502554,0.9875,44.166,80.29,85.38,61987,1,0,0,0,84.89537989,87.31,2.414620106
138,2020,13,0,2.7782,0,0,92.17,28800,1,0,0,0,86.79997021,85.35,-1.449970207
139,2020,13,0,3.1587,0,0.798,84.78,54746,1,0,0,0,84.90330634,84.99,0.086693664
140,2020,13,8.840486,1.994,0,0,91.4,65126,1,0,0,0,86.81729842,86.02,-0.797298416
141,2020,13,21.586,4.22211,0,1.4385,82.47,36000,1,0,0,0,83.73483027,82.13,-1.60483027
142,2020,13,12.995074,1.7302,0,1.0756,87.82,67160,1,0,0,0,85.81033668,86.84,1.029663321
143,2020,13,0,1.0392,0,1.65212,88.46,26725,1,0,0,0,85.92402366,87.09,1.16597634
144,2020,13,0,5.7911,0,0,80.75,20521.9,1,0,0,0,83.2354196,78.15,-5.085419602
145,2020,13,6.724152,0.5592,0,53.9775,92.23,45043,1,0,0,0,86.93748627,90.14,3.202513726
146,2020,13,12.9344,4.72218,0,0,83.04,38376,1,0,0,0,83.96750843,81.97,-1.99750843
147,2020,13,13.065712,1.2787,0,1.37,82.33,31120,1,0,0,0,84.05244526,77.78,-6.272445264
148,2020,13,0,3.8908,0,0,83.28,14882.9,1,0,0,0,84.08075754,80.93,-3.150757542
149,2020,13,0,0.306,0,0,76.18,20252,1,0,0,0,82.5170789,80.15,-2.367078898
150,2020,13,78.5711135,6.61907,6.861,0,80.35,80467.9,1,0,0,0,82.73543174,84.78,2.044568257
151,2020,13,30.166,1.6722,0,0,78.79,20676.6,1,0,0,0,82.76593835,79.11,-3.655938346
152,2020,13,38.92725,3.5132,0,6.1975,84.11,52912,1,0,0,0,84.16586355,85.45,1.284136448
153,2020,13,0,3.8845,7.1,0,83.17,58939.4,1,0,0,0,84.41943259,84.65,0.230567409
154,2020,13,26.5133,7.84709,0,2.4523,81.81,90620,1,0,0,0,83.60671348,83.08,-0.526713481
155,2020,13,14.620206,2.5067,0,0.5188,86.42,27633.8,0,1,0,0,84.5164009,86.55,2.033599101
156,2020,13,9.5632,5.8152,0,0,78.14,11500,0,1,0,0,81.50477564,82.81,1.305224355
157,2020,13,14.62,3.24518,129.485,0,76.64,47514,0,1,0,0,81.62686674,72.61,-9.016866745
158,2020,13,0,1.255239,0,0,82.58,14820,1,0,0,0,84.15710118,82.86,-1.297101176
159,2020,13,0.3326,0.14559,0,0,97.48,36918.72,1,0,0,0,88.64071609,97.95,9.309283915
160,2020,13,9.7334,4.191726,0,10.5426,83.07,111047.5,1,0,0,0,84.6377108,80.64,-3.997710799
161,2020,13,0,0.7005,0,125.184,90.66,79548.97,1,0,0,0,86.67610772,91.14,4.463892276
162,2020,13,1.785,1.4833,0,0,88.46,73814.5,1,0,0,0,86.23048292,90.3,4.06951708
163,2020,13,1.8798,8.713034,0,0,89.14,168837.4,1,0,0,0,86.41243036,91.01,4.597569644
164,2020,13,33.787092,1.8631,0,0,81.47,31549,1,0,0,0,83.51874141,82.37,-1.148741412
165,2020,13,24.457096,3.7875,4.5301,0,84.98,57396.5,1,0,0,0,84.59997188,79.81,-4.789971876
166,2020,13,0.122,1.707,0,0,88.99,60807.5,1,0,0,0,86.27605872,85.06,-1.216058722
167,2020,13,12.2169,0.4465,6.272,0,87.98,34094.63,1,0,0,0,85.73921017,87.51,1.770789833
168,2020,14,33.664548,0.9928,7.113,3.65,86.79,38934,1,0,0,0,84.94564289,82.75,-2.195642895
169,2020,14,0,0.21311,0,0,98.71,16108,0,1,0,0,88.62403722,94.19,5.565962782
170,2020,14,0,1.177802,17.002,0,92.26,92478,0,0,1,0,89.34854542,94.08,4.731454579
171,2020,14,0,1.177802,17.002,0,92.26,92478,0,0,1,0,89.34854542,94.08,4.731454579
172,2020,14,0,1.177802,17.002,0,92.26,92478,0,0,1,0,89.34854542,94.08,4.731454579
173,2020,14,0,0.0485,0,0,100,12530,1,0,0,0,89.03512751,96.69,7.654872489
174,2020,14,90.1832,3.5241,0,0,80.95,88618,1,0,0,0,82.96850797,83.67,0.701492033
175,2020,14,0,1.1736,0,0,88.48,55250,1,0,0,0,85.99572488,87.81,1.814275123
176,2020,14,32.4084,1.918,0,0,83.95,37539,1,0,0,0,84.10007358,86.07,1.969926419
177,2020,14,0,0.3103,0,0,81.11,31326,1,0,0,0,83.83045511,100,16.16954489
178,2020,14,0,9.0243,18.401,0,82.79,123742.9,1,0,0,0,84.19165061,80.51,-3.681650614
179,2020,14,27.4568,0.3271,29.12,0,91.38,52439,1,0,0,0,86.46181264,92.31,5.84818736
180,2020,14,0,0.7955,0,0,86.28,27074.2,1,0,0,0,85.19102675,86.41,1.21897325
181,2020,14,0,0,0,0,87.27,21165,1,0,0,0,85.50619365,91.23,5.723806348
182,2020,14,0,0.9685,0,0,84.05,41661.1,1,0,0,0,84.66903592,85.85,1.180964079
183,2020,14,61.0566,8.5181,0,0,87.51,64748,1,0,0,0,84.30733786,89.19,4.882662135
184,2020,14,0,0,0,0,78.24,83293,1,0,0,0,83.50586405,81.79,-1.715864053
185,2020,14,13.15623,3.376,0,2.877,83.7,59296,1,0,0,0,84.29510736,81.79,-2.505107359
