道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份,道路名称2
2009,1,20521.9,0,0,0,0,83.38989667,83.38989667,主干路,2022,惠新东街
2010,1,45337.21212,0,0,0,0,83.72273698,83.72273698,主干路,2022,G1辅路（京沈高速右辅路）
2011,1,45337.21212,0,0,0,0,82.32322887,82.32322887,主干路,2022,G1辅路（京沈高速左辅路）
2012,1,112080,0,0,0,0,84.12936585,84.12936585,次干路,2022,长青路
2013,1,118955,0,0,0,0,85.62874141,85.62874141,主干路,2022,四环路内环辅路
2014,1,118955,0,0,0,0,86.08947323,86.08947323,主干路,2022,四环路外环辅路
2015,1,90620,0,0,0,0,82.46606244,82.46606244,主干路,2022,中关村南大街
2016,1,66248,0,0,0,0,84.87798651,84.87798651,主干路,2022,永定门内大街
2017,1,59296,0,0,0,0,85.92344424,85.92344424,主干路,2022,永定门外大街
2018,1,31549,0,0,0,0,84.79233552,84.79233552,主干路,2022,南新华街
2019,1,21006,0,0,0,0,84.14101555,84.14101555,次干路,2022,中环路
2020,1,121256.7779,0,0,0,0,85.71182091,85.71182091,主干路,2022,朝阳北路
2021,1,37084,0,0,0,0,84.27964209,84.27964209,次干路,2022,西二旗北路（东北旺北路东段）
2022,1,82351.8,0,0,0,0,84.48878375,84.48878375,主干路,2022,林萃路
2023,1,21742,0,0,0,0,83.27965817,83.27965817,主干路,2022,东单北大街
2024,1,16694.5,0,0,0,0,86.3906166,86.3906166,主干路,2022,东四南大街
2025,1,30984,0,0,0,0,85.84079254,85.84079254,主干路,2022,东四北大街
2026,2,86502.12939,0,0,0,0,84.12615621,84.12615621,主干路,2022,四环路内环辅路
2027,2,89135.44523,0,0,0,0,83.57249618,83.57249618,主干路,2022,四环路外环辅路
2028,2,22945,0,0,0,0,83.13002952,83.13002952,次干路,2022,月坛北街
2029,2,37965,0,0,0,0,84.80019417,84.80019417,次干路,2022,月坛南街
2030,2,31555,0,0,0,0,83.95904473,83.95904473,主干路,2022,西直门外大街右侧辅路
2031,2,36612.25,0,0,0,0,82.11660198,82.11660198,主干路,2022,西直门外大街左侧辅路
2032,2,27851,0,0,0,0,82.33231654,82.33231654,主干路,2022,白纸坊西街
2033,2,26938.8,0,0,0,0,83.08528841,83.08528841,主干路,2022,农大南路
2034,2,31325.99666,0,0,0,0,83.1120669,83.1120669,主干路,2022,阜通东大街
2035,2,56649.8,0,0,0,0,82.663994,82.663994,主干路,2022,阜通西大街
2036,2,83490,0,0,0,0,82.15853053,82.15853053,主干路,2022,小屯路
2037,2,59846.4,0,0,0,0,85.31324685,85.31324685,主干路,2022,南磨房路
2038,2,14209,0,0,0,0,84.00689858,84.00689858,次干路,2022,京原路
2039,2,49568,0,0,0,0,83.40355063,83.40355063,次干路,2022,京原路
2040,2,17564,0,0,0,0,84.08832126,84.08832126,主干路,2022,西直门内大街
2041,3,52980,0,0,0,0,82.60647343,82.60647343,主干路,2022,珠市口东大街
2042,3,60398,0,0,0,0,83.6945593,83.6945593,主干路,2022,广渠门内大街
2043,3,49784,0,0,0,0,84.31169592,84.31169592,主干路,2022,广安门外大街
2044,3,121102.9811,0,0,0,0,82.83738531,82.83738531,主干路,2022,四环路内环辅路
2045,3,124789.6233,0,0,0,0,83.37771045,83.37771045,主干路,2022,四环路外环辅路
2046,3,45576,0,0,0,0,84.33928746,84.33928746,主干路,2022,车公庄大街
2047,3,61099,0,0,0,0,83.59589959,83.59589959,主干路,2022,车公庄西路
2048,3,164380,0,0,0,0,83.80401785,83.80401785,主干路,2022,成寿寺路
2049,3,142458.1,0,0,0,0,85.56673019,85.56673019,主干路,2022,永丰路
2050,3,16856.2,0,0,0,0,83.84349544,83.84349544,主干路,2022,香河园路
2051,3,22995,0,0,0,0,84.25637813,84.25637813,主干路,2022,香河园路
2052,3,10632,0,0,0,0,82.36818742,82.36818742,主干路,2022,雍和宫大街
2053,3,32927.1,0,0,0,0,84.02895951,84.02895951,主干路,2022,崇文门内大街
2054,3,43232,0,0,0,0,82.57918206,82.57918206,主干路,2022,崇文门外大街
2055,3,9662,0,0,0,0,78.78242251,78.78242251,主干路,2022,静安西街
2056,3,10913,0,0,0,0,82.6150884,82.6150884,次干路,2022,柳芳北街
2057,4,7163,0,0,0,0,82.14052772,82.14052772,次干路,2022,景山东街
2058,4,7563.7,0,0,0,0,83.89886286,83.89886286,次干路,2022,景山后街
2059,4,5423.9,0,0,0,0,81.28921995,81.28921995,次干路,2022,景山西街
2060,4,325713,0,0,0,0,83.8025832,83.8025832,主干路,2022,三环路
2061,4,36650,0,0,0,0,84.45502111,84.45502111,次干路,2022,稻香湖路
2062,4,68054,0,0,0,0,84.83877127,84.83877127,主干路,2022,广顺北大街
2063,4,36398,0,0,0,0,83.32701804,83.32701804,主干路,2022,广顺南大街
2064,4,12025.12679,0,0,0,0,83.10214491,83.10214491,主干路,2022,四环路内环辅路
2065,4,12391.1982,0,0,0,0,83.48323613,83.48323613,主干路,2022,四环路外环辅路
2066,4,33941,0,0,0,0,81.63072722,81.63072722,主干路,2022,珠市口西大街
2067,4,25444,0,0,0,0,83.54268296,83.54268296,主干路,2022,骡马市大街
2068,4,90833.5,0,0,0,0,84.13197516,84.13197516,主干路,2022,广安门内大街
2069,4,14172,0,0,0,0,79.67330951,79.67330951,次干路,2022,西安门大街
2070,5,384394,0,0,0,0,86.04848772,86.04848772,主干路,2022,三环路
2071,5,34747.5,0,0,0,0,79.24579436,79.24579436,主干路,2022,德胜门外大街左侧辅路
2072,5,62000,0,0,0,0,81.45175332,81.45175332,主干路,2022,东苇路
2073,5,30635.4,0,0,0,0,82.64161635,82.64161635,主干路,2022,东直门内大街
2074,5,51657.9,0,0,0,0,83.72702674,83.72702674,主干路,2022,和平里西街
2075,5,34658.8,0,0,0,0,82.68913695,82.68913695,主干路,2022,劲松路
2076,5,15826,0,0,0,0,82.94682022,82.94682022,主干路,2022,京开路右辅路
2077,5,15825,0,0,0,0,83.34405653,83.34405653,主干路,2022,京开路左辅路
2078,5,90329.03138,0,0,0,0,84.21022838,84.21022838,主干路,2022,京通快速路左辅路
2079,5,90010.12334,0,0,0,0,82.63954593,82.63954593,主干路,2022,京通快速路右辅路
2080,5,275236.4677,0,0,0,0,83.81554938,83.81554938,主干路,2022,四环路内环辅路
2081,5,283615.2736,0,0,0,0,83.95386393,83.95386393,主干路,2022,四环路外环辅路
2082,5,20770,0,0,0,0,82.16700132,82.16700132,主干路,2022,土城西侧路
2083,5,9399.2,0,0,0,0,82.95021894,82.95021894,主干路,2022,西四南大街
2084,5,22678.5,0,0,0,0,82.7212215,82.7212215,主干路,2022,西直门北大街右侧辅路
2085,5,24552,0,0,0,0,82.6065727,82.6065727,主干路,2022,西直门北大街左侧辅路
2086,5,11378.6,0,0,0,0,83.04591717,83.04591717,主干路,2022,新街口南大街
2087,5,48624,0,0,0,0,81.11763436,81.11763436,次干路,2022,阜安西路
2088,5,27723.5,0,0,0,0,80.97922763,80.97922763,次干路,2022,和平里东街
2089,5,95399,0,0,0,0,81.57195163,81.57195163,主干路,2022,后厂村路（东北旺北路）
2090,5,32544,0,0,0,0,85.69396228,85.69396228,次干路,2022,天坛路
2091,5,44698.8,0,0,0,0,81.82439738,81.82439738,次干路,2022,望京街
